headword	pos	band	source	note
frost	n	1	defining	votes 1
frown	n	1	defining	votes 1
frozen	adj	1	defining	votes 1
fruit	n	1	defining	votes 3
fry	v	1	defining	votes 2
ft	abbr	1	defining	votes 2
fuel	n	1	defining	votes 1
full	adj	1	defining	votes 3
full-time	adj	1	defining	votes 1
fully	adv	1	defining	votes 2
fun	adj	1	defining	votes 2
fun	n	1	defining	votes 3
funeral	n	1	defining	votes 3
funny	adj	1	defining	votes 3
fur	n	1	defining	votes 2
furniture	n	1	defining	votes 2
future	adj	1	defining	votes 2
future	n	1	defining	votes 3
gain	n	1	defining	votes 1
game	n	1	defining	votes 3
garage	n	1	defining	votes 1
garden	n	1	defining	votes 3
gas	n	1	defining	votes 3
gate	n	1	defining	votes 3
gather	v	1	defining	votes 2
gear	n	1	defining	votes 1
gender	n	1	defining	votes 1
general	adj	1	defining	votes 2
generally	adv	1	defining	votes 3
generation	n	1	defining	votes 2
generous	adj	1	defining	votes 3
gentle	adj	1	defining	votes 2
germ	n	1	defining	votes 1
get	v	1	defining	votes 3
get away	phrv	1	defining	votes 1
get back	phrv	1	defining	votes 2
get in	phrv	1	defining	votes 1
get off	phrv	1	defining	votes 1
get on	phrv	1	defining	votes 1
get out	phrv	1	defining	votes 1
get over	phrv	1	defining	votes 1
get up	phrv	1	defining	votes 3
girl	n	1	defining	votes 3
give	v	1	defining	votes 3
give back	phrv	1	defining	votes 2
give up	phrv	1	defining	votes 3
glass	n	1	defining	votes 3
glasses	n	1	defining	votes 3
glove	n	1	defining	votes 3
glow	v	1	defining	votes 2
glue	n	1	defining	votes 1
go	v	1	defining	votes 3
go away	phrv	1	defining	votes 1
go back	phrv	1	defining	votes 3
go on	phrv	1	defining	votes 3
go out	phrv	1	defining	votes 3
go over	phrv	1	defining	votes 1
go through	phrv	1	defining	votes 1
goal	n	1	defining	votes 2
goat	n	1	defining	votes 2
god	n	1	defining	votes 3
gold	adj	1	defining	votes 1
good	adj	1	defining	votes 2
good morning	phr	1	defining	votes 2
good night	phr	1	defining	votes 2
goodbye	interj	1	defining	votes 3
goods	n	1	defining	votes 2
govern	v	1	defining	votes 1
government	n	1	defining	votes 3
governor	n	1	defining	votes 1
grain	n	1	defining	votes 2
grammar	n	1	defining	votes 1
grandchild	n	1	defining	votes 3
granddaughter	n	1	defining	votes 2
grandfather	n	1	defining	votes 3
grandmother	n	1	defining	votes 3
grandparent	n	1	defining	votes 3
grandson	n	1	defining	votes 2
grass	n	1	defining	votes 3
grateful	adj	1	defining	votes 2
grave	n	1	defining	votes 2
great	adj	1	defining	votes 2
greatly	adv	1	defining	votes 1
green	adj	1	defining	votes 2
greeting	n	1	defining	votes 1
grief	n	1	defining	votes 1
ground	n	1	defining	votes 2
group	n	1	defining	votes 3
grow	v	1	defining	votes 3
grow up	phrv	1	defining	votes 3
growth	n	1	defining	votes 2
guard	n	1	defining	votes 2
guard	v	1	defining	votes 2
guess	n	1	defining	votes 3
guess	v	1	defining	votes 3
guest	n	1	defining	votes 2
guide	n	1	defining	votes 1
guilt	n	1	defining	votes 3
guilty	adj	1	defining	votes 3
gun	n	1	defining	votes 2
habit	n	1	defining	votes 3
hair	n	1	defining	votes 2
half	det	1	defining	votes 2
half	n	1	defining	votes 3
hall	n	1	defining	votes 2
hand	n	1	defining	votes 3
hand over	phrv	1	defining	votes 1
handle	n	1	defining	votes 2
handle	v	1	defining	votes 2
handsome	adj	1	defining	votes 2
hang	v	1	defining	votes 2
hang up	phrv	1	defining	votes 1
happen	v	1	defining	votes 2
happy	adj	1	defining	votes 3
hard	adj	1	defining	votes 3
hard	adv	1	defining	votes 3
hardly	adv	1	defining	votes 2
harm	n	1	defining	votes 2
harm	v	1	defining	votes 2
harvest	v	1	defining	votes 2
hat	n	1	defining	votes 3
hate	n	1	defining	votes 2
hate	v	1	defining	votes 3
have	aux	1	defining	votes 3
have	v	1	defining	votes 3
hay	n	1	defining	votes 1
he	pron	1	defining	votes 3
head	n	1	defining	votes 3
heal	v	1	defining	votes 3
health	n	1	defining	votes 3
healthy	adj	1	defining	votes 3
hear	v	1	defining	votes 3
hearing	n	1	defining	votes 1
heart	n	1	defining	votes 3
heat	n	1	defining	votes 3
heat	v	1	defining	votes 3
heavy	adj	1	defining	votes 3
height	n	1	defining	votes 3
hello	interj	1	defining	votes 3
help	n	1	defining	votes 2
help	v	1	defining	votes 3
helpful	adj	1	defining	votes 1
her	det	1	defining	votes 2
herb	n	1	defining	votes 1
here	adv	1	defining	votes 3
hers	pron	1	defining	votes 1
herself	pron	1	defining	votes 1
hey	interj	1	defining	votes 3
hi	interj	1	defining	votes 3
hidden	adj	1	defining	votes 1
hide	v	1	defining	votes 1
high	adj	1	defining	votes 3
highly	adv	1	defining	votes 1
highway	n	1	defining	votes 1
hill	n	1	defining	votes 2
him	pron	1	defining	votes 2
himself	pron	1	defining	votes 1
hire	v	1	defining	votes 2
his	det	1	defining	votes 2
hit	n	1	defining	votes 2
hit	v	1	defining	votes 3
hmm	interj	1	defining	votes 2
hobby	n	1	defining	votes 3
hold	v	1	defining	votes 3
hold on	phrv	1	defining	votes 3
hole	n	1	defining	votes 1
holiday	n	1	defining	votes 1
holy	adj	1	defining	votes 2
home	n	1	defining	votes 3
honest	adj	1	defining	votes 3
honestly	adv	1	defining	votes 1
honesty	n	1	defining	votes 2
honey	n	1	defining	votes 1
hope	n	1	defining	votes 3
hope	v	1	defining	votes 3
horn	n	1	defining	votes 2
horse	n	1	defining	votes 2
hospital	n	1	defining	votes 3
host	n	1	defining	votes 2
hot	adj	1	defining	votes 3
hotel	n	1	defining	votes 1
hour	n	1	defining	votes 3
house	n	1	defining	votes 3
how	adv	1	defining	votes 3
however	adv	1	defining	votes 2
hr.	abbr	1	defining	votes 2
hug	v	1	defining	votes 1
human	adj	1	defining	votes 2
humor	n	1	defining	votes 2
hundred	num	1	defining	votes 3
hungry	adj	1	defining	votes 2
hurt	adj	1	defining	votes 2
hurt	v	1	defining	votes 3
husband	n	1	defining	votes 3
i	pron	1	defining	votes 3
i.e.	abbr	1	defining	votes 3
ice	n	1	defining	votes 3
id	abbr	1	defining	votes 2
idea	n	1	defining	votes 3
if	conj	1	defining	votes 3
ill	adj	1	defining	votes 3
illegal	adj	1	defining	votes 2
illness	n	1	defining	votes 3
image	n	1	defining	votes 1
imagine	v	1	defining	votes 3
immediately	adv	1	defining	votes 3
impatient	adj	1	defining	votes 1
importance	n	1	defining	votes 2
important	adj	1	defining	votes 2
impossible	adj	1	defining	votes 2
improve	v	1	defining	votes 1
improvement	n	1	defining	votes 1
in	adv	1	defining	votes 3
in	prep	1	defining	votes 3
in fact	phr	1	defining	votes 1
in-	prefix	1	defining	votes 2
include	v	1	defining	votes 2
including	prep	1	defining	votes 1
income	n	1	defining	votes 1
increase	n	1	defining	votes 2
increase	v	1	defining	votes 3
indeed	adv	1	defining	votes 2
individual	adj	1	defining	votes 1
indoor	adj	1	defining	votes 1
industrial	adj	1	defining	votes 1
industry	n	1	defining	votes 1
infect	v	1	defining	votes 2
infection	n	1	defining	votes 3
influence	n	1	defining	votes 1
info	abbr	1	defining	votes 2
inform	v	1	defining	votes 1
informal	adj	1	defining	votes 1
information	n	1	defining	votes 3
injection	n	1	defining	votes 2
injure	v	1	defining	votes 2
injury	n	1	defining	votes 3
innocent	adj	1	defining	votes 3
insect	n	1	defining	votes 2
inside	adv	1	defining	votes 3
inside	n	1	defining	votes 2
inside	prep	1	defining	votes 3
install	v	1	defining	votes 1
instead	adv	1	defining	votes 2
instrument	n	1	defining	votes 3
intelligence	n	1	defining	votes 1
intend	v	1	defining	votes 2
intention	n	1	defining	votes 2
inter-	prefix	1	defining	votes 2
interest	n	1	defining	votes 3
interest	v	1	defining	votes 3
interested	adj	1	defining	votes 1
international	adj	1	defining	votes 1
internet	n	1	defining	votes 1
into	prep	1	defining	votes 3
introduce	v	1	defining	votes 2
invest	v	1	defining	votes 2
invite	v	1	defining	votes 2
involve	v	1	defining	votes 2
iron	n	1	defining	votes 2
island	n	1	defining	votes 2
issue	n	1	defining	votes 1
it	pron	1	defining	votes 3
item	n	1	defining	votes 1
its	det	1	defining	votes 2
itself	pron	1	defining	votes 1
jacket	n	1	defining	votes 2
jail	n	1	defining	votes 1
jealous	adj	1	defining	votes 3
jewel	n	1	defining	votes 1
jewelry	n	1	defining	votes 2
job	n	1	defining	votes 2
join	v	1	defining	votes 2
joint	n	1	defining	votes 1
joke	n	1	defining	votes 2
journey	n	1	defining	votes 3
joy	n	1	defining	votes 2
judge	n	1	defining	votes 3
judge	v	1	defining	votes 3
judgment	n	1	defining	votes 1
juice	n	1	defining	votes 2
jump	v	1	defining	votes 3
jungle	n	1	defining	votes 1
jury	n	1	defining	votes 1
just	adv	1	defining	votes 3
justice	n	1	defining	votes 2
keep	v	1	defining	votes 3
keep on	phrv	1	defining	votes 2
keep up	phrv	1	defining	votes 2
key	n	1	defining	votes 3
keyboard	n	1	defining	votes 1
kg	abbr	1	defining	votes 2
kick	v	1	defining	votes 1
kidney	n	1	defining	votes 2
kill	v	1	defining	votes 3
kind	adj	1	defining	votes 3
kind	n	1	defining	votes 3
kindness	n	1	defining	votes 3
king	n	1	defining	votes 2
kiss	v	1	defining	votes 1
kitchen	n	1	defining	votes 3
km	abbr	1	defining	votes 2
knee	n	1	defining	votes 1
knife	n	1	defining	votes 3
knock	n	1	defining	votes 1
know	v	1	defining	votes 3
knowledge	n	1	defining	votes 3
laboratory	n	1	defining	votes 1
lake	n	1	defining	votes 2
lamp	n	1	defining	votes 2
land	n	1	defining	votes 3
land	v	1	defining	votes 2
lane	n	1	defining	votes 1
language	n	1	defining	votes 2
large	adj	1	defining	votes 3
largely	adv	1	defining	votes 1
last	adj	1	defining	votes 3
last	adv	1	defining	votes 3
late	adj	1	defining	votes 3
late	adv	1	defining	votes 3
later	adv	1	defining	votes 2
laugh	n	1	defining	votes 1
laundry	n	1	defining	votes 1
law	n	1	defining	votes 3
lawyer	n	1	defining	votes 1
lay	v	1	defining	votes 3
layer	n	1	defining	votes 1
lazy	adj	1	defining	votes 3
lb	abbr	1	defining	votes 2
lead	v	1	defining	votes 3
lead to	phrv	1	defining	votes 1
leader	n	1	defining	votes 3
leaf	n	1	defining	votes 3
leak	v	1	defining	votes 1
learn	v	1	defining	votes 3
least	adv	1	defining	votes 2
least	det	1	defining	votes 3
leather	n	1	defining	votes 3
leave	v	1	defining	votes 3
leave out	phrv	1	defining	votes 1
left	adv	1	defining	votes 2
leg	n	1	defining	votes 3
legal	adj	1	defining	votes 3
leisure	n	1	defining	votes 1
lend	v	1	defining	votes 1
length	n	1	defining	votes 3
less	adv	1	defining	votes 2
less	det	1	defining	votes 3
lesson	n	1	defining	votes 2
let	v	1	defining	votes 2
letter	n	1	defining	votes 2
level	adj	1	defining	votes 2
level	n	1	defining	votes 3
lever	n	1	defining	votes 1
library	n	1	defining	votes 2
lid	n	1	defining	votes 1
lie	v	1	defining	votes 3
lie down	phrv	1	defining	votes 2
life	n	1	defining	votes 2
lift	n	1	defining	votes 2
lift	v	1	defining	votes 2
light	adj	1	defining	votes 3
light	n	1	defining	votes 3
light	v	1	defining	votes 2
lightning	n	1	defining	votes 1
like	prep	1	defining	votes 3
like	v	1	defining	votes 3
likely	adj	1	defining	votes 2
limit	n	1	defining	votes 2
limit	v	1	defining	votes 2
line	n	1	defining	votes 3
link	n	1	defining	votes 1
lip	n	1	defining	votes 1
liquid	adj	1	defining	votes 2
liquid	n	1	defining	votes 3
list	n	1	defining	votes 2
list	v	1	defining	votes 2
listen	v	1	defining	votes 3
listen to	phrv	1	defining	votes 1
little	adj	1	defining	votes 3
little	det	1	defining	votes 3
live	v	1	defining	votes 3
liver	n	1	defining	votes 2
living	adj	1	defining	votes 1
load	n	1	defining	votes 2
loan	n	1	defining	votes 2
local	adj	1	defining	votes 3
lock	n	1	defining	votes 2
lock	v	1	defining	votes 2
logical	adj	1	defining	votes 1
lonely	adj	1	defining	votes 3
long	adj	1	defining	votes 3
look	n	1	defining	votes 3
look	v	1	defining	votes 2
look after	phrv	1	defining	votes 2
look at	phrv	1	defining	votes 2
look for	phrv	1	defining	votes 3
look like	phrv	1	defining	votes 3
look out	phrv	1	defining	votes 1
look up	phrv	1	defining	votes 1
loose	adj	1	defining	votes 3
lose	v	1	defining	votes 3
loss	n	1	defining	votes 3
lot	n	1	defining	votes 1
loud	adj	1	defining	votes 3
love	n	1	defining	votes 3
love	v	1	defining	votes 3
low	adj	1	defining	votes 3
loyal	adj	1	defining	votes 1
lunch	n	1	defining	votes 3
lung	n	1	defining	votes 3
machine	n	1	defining	votes 1
magic	adj	1	defining	votes 1
main	adj	1	defining	votes 2
mainly	adv	1	defining	votes 2
make	v	1	defining	votes 3
make up	phrv	1	defining	votes 3
makeup	n	1	defining	votes 2
male	adj	1	defining	votes 2
mammal	n	1	defining	votes 2
man	n	1	defining	votes 3
manage	v	1	defining	votes 2
manager	n	1	defining	votes 2
manner	n	1	defining	votes 2
many	det	1	defining	votes 3
map	n	1	defining	votes 3
mark	n	1	defining	votes 2
market	n	1	defining	votes 3
marriage	n	1	defining	votes 3
married	adj	1	defining	votes 2
marry	v	1	defining	votes 3
mass	n	1	defining	votes 1
match	n	1	defining	votes 2
material	n	1	defining	votes 3
matter	n	1	defining	votes 3
may	modal	1	defining	votes 3
maybe	adv	1	defining	votes 3
mayor	n	1	defining	votes 1
me	pron	1	defining	votes 2
meal	n	1	defining	votes 3
mean	adj	1	defining	votes 2
mean	v	1	defining	votes 3
meaning	n	1	defining	votes 3
measure	n	1	defining	votes 3
measure	v	1	defining	votes 3
measurement	n	1	defining	votes 1
meat	n	1	defining	votes 3
mechanical	adj	1	defining	votes 1
medical	adj	1	defining	votes 1
medicine	n	1	defining	votes 3
meet	v	1	defining	votes 2
melt	v	1	defining	votes 2
member	n	1	defining	votes 2
memory	n	1	defining	votes 3
mental	adj	1	defining	votes 3
mention	v	1	defining	votes 2
menu	n	1	defining	votes 1
merely	adv	1	defining	votes 1
message	n	1	defining	votes 2
messy	adj	1	defining	votes 1
metal	n	1	defining	votes 3
method	n	1	defining	votes 3
micro-	comb	1	defining	votes 2
mid-	comb	1	defining	votes 1
middle	n	1	defining	votes 3
midnight	n	1	defining	votes 2
might	modal	1	defining	votes 2
military	adj	1	defining	votes 2
milk	n	1	defining	votes 3
million	num	1	defining	votes 3
min.	abbr	1	defining	votes 2
mind	n	1	defining	votes 3
mine	pron	1	defining	votes 1
minister	n	1	defining	votes 3
minus	prep	1	defining	votes 1
minute	n	1	defining	votes 3
mirror	n	1	defining	votes 2
mis-	prefix	1	defining	votes 2
mistake	n	1	defining	votes 2
mix	v	1	defining	votes 3
mm	abbr	1	defining	votes 2
modern	adj	1	defining	votes 2
modest	adj	1	defining	votes 1
moment	n	1	defining	votes 2
money	n	1	defining	votes 3
month	n	1	defining	votes 3
monthly	adj	1	defining	votes 2
mood	n	1	defining	votes 3
moon	n	1	defining	votes 2
more	adv	1	defining	votes 2
more	det	1	defining	votes 3
morning	n	1	defining	votes 3
most	adv	1	defining	votes 2
most	det	1	defining	votes 3
mostly	adv	1	defining	votes 2
mother	n	1	defining	votes 3
motor	n	1	defining	votes 2
mountain	n	1	defining	votes 2
mouse	n	1	defining	votes 1
mouth	n	1	defining	votes 3
move	n	1	defining	votes 2
move	v	1	defining	votes 3
move in	phrv	1	defining	votes 1
move on	phrv	1	defining	votes 2
move out	phrv	1	defining	votes 1
movement	n	1	defining	votes 1
movie	n	1	defining	votes 1
mph	abbr	1	defining	votes 2
much	adv	1	defining	votes 2
much	det	1	defining	votes 3
mud	n	1	defining	votes 3
multi-	comb	1	defining	votes 1
multiply	v	1	defining	votes 1
murder	n	1	defining	votes 1
muscle	n	1	defining	votes 3
museum	n	1	defining	votes 1
music	n	1	defining	votes 3
musical	adj	1	defining	votes 2
musician	n	1	defining	votes 2
must	modal	1	defining	votes 3
my	det	1	defining	votes 2
myself	pron	1	defining	votes 1
naked	adj	1	defining	votes 2
name	n	1	defining	votes 2
name	v	1	defining	votes 3
narrow	adj	1	defining	votes 3
nation	n	1	defining	votes 3
national	adj	1	defining	votes 1
natural	adj	1	defining	votes 2
naturally	adv	1	defining	votes 2
nature	n	1	defining	votes 3
near	adj	1	defining	votes 2
near	adv	1	defining	votes 3
near	prep	1	defining	votes 3
nearby	adj	1	defining	votes 1
nearly	adv	1	defining	votes 2
neat	adj	1	defining	votes 2
necessarily	adv	1	defining	votes 1
necessary	adj	1	defining	votes 2
neck	n	1	defining	votes 3
need	n	1	defining	votes 2
need	v	1	defining	votes 3
negative	adj	1	defining	votes 1
neighbor	n	1	defining	votes 2
neither	det	1	defining	votes 2
neither	pron	1	defining	votes 2
nephew	n	1	defining	votes 2
nerve	n	1	defining	votes 2
nervous	adj	1	defining	votes 3
nest	n	1	defining	votes 1
network	n	1	defining	votes 1
never	adv	1	defining	votes 3
new	adj	1	defining	votes 3
news	n	1	defining	votes 2
next	adj	1	defining	votes 3
next	adv	1	defining	votes 2
nice	adj	1	defining	votes 2
niece	n	1	defining	votes 2
night	n	1	defining	votes 3
nine	num	1	defining	votes 3
no	adv	1	defining	votes 2
no	det	1	defining	votes 3
no	interj	1	defining	votes 2
no.	abbr	1	defining	votes 2
nobody	pron	1	defining	votes 1
noise	n	1	defining	votes 2
noisy	adj	1	defining	votes 2
non-	prefix	1	defining	votes 2
none	pron	1	defining	votes 2
noon	n	1	defining	votes 2
nor	conj	1	defining	votes 3
normal	adj	1	defining	votes 2
normally	adv	1	defining	votes 3
nose	n	1	defining	votes 3
not	adv	1	defining	votes 3
note	n	1	defining	votes 3
nothing	pron	1	defining	votes 1
notice	v	1	defining	votes 3
noun	n	1	defining	votes 1
now	adv	1	defining	votes 3
nowhere	adv	1	defining	votes 2
number	n	1	defining	votes 3
nurse	n	1	defining	votes 3
nut	n	1	defining	votes 1
obey	v	1	defining	votes 1
object	n	1	defining	votes 2
observe	v	1	defining	votes 2
obvious	adj	1	defining	votes 1
obviously	adv	1	defining	votes 2
occasional	adj	1	defining	votes 1
occur	v	1	defining	votes 1
ocean	n	1	defining	votes 2
odd	adj	1	defining	votes 1
of	prep	1	defining	votes 3
of course	phr	1	defining	votes 2
off	adv	1	defining	votes 3
off	prep	1	defining	votes 3
offer	n	1	defining	votes 1
office	n	1	defining	votes 3
officer	n	1	defining	votes 1
official	adj	1	defining	votes 2
official	n	1	defining	votes 3
often	adv	1	defining	votes 3
oh	interj	1	defining	votes 3
oil	n	1	defining	votes 3
ok	abbr	1	defining	votes 1
okay	adv	1	defining	votes 2
okay	interj	1	defining	votes 3
old	adj	1	defining	votes 3
on	adv	1	defining	votes 3
on	prep	1	defining	votes 3
once	adv	1	defining	votes 3
once	conj	1	defining	votes 3
one	num	1	defining	votes 3
one	pron	1	defining	votes 2
online	adj	1	defining	votes 1
only	adv	1	defining	votes 3
onto	prep	1	defining	votes 3
oops	interj	1	defining	votes 2
open	adj	1	defining	votes 3
open	v	1	defining	votes 3
operate	v	1	defining	votes 3
operation	n	1	defining	votes 2
opinion	n	1	defining	votes 3
opportunity	n	1	defining	votes 1
opposite	adj	1	defining	votes 2
or	conj	1	defining	votes 3
orange	adj	1	defining	votes 1
order	n	1	defining	votes 3
order	v	1	defining	votes 2
organ	n	1	defining	votes 1
orphan	n	1	defining	votes 2
other	adj	1	defining	votes 2
other	det	1	defining	votes 3
other	pron	1	defining	votes 2
otherwise	adv	1	defining	votes 2
ouch	interj	1	defining	votes 2
ought	modal	1	defining	votes 1
our	det	1	defining	votes 2
ours	pron	1	defining	votes 1
ourselves	pron	1	defining	votes 1
out	adv	1	defining	votes 3
out	prep	1	defining	votes 3
out-	prefix	1	defining	votes 2
outdoor	adj	1	defining	votes 1
outside	adv	1	defining	votes 3
outside	n	1	defining	votes 2
outside	prep	1	defining	votes 3
oven	n	1	defining	votes 3
over	adv	1	defining	votes 3
over	prep	1	defining	votes 3
over-	prefix	1	defining	votes 2
owe	v	1	defining	votes 2
own	v	1	defining	votes 2
owner	n	1	defining	votes 1
oz	abbr	1	defining	votes 2
p.m.	abbr	1	defining	votes 2
pack	n	1	defining	votes 2
pack	v	1	defining	votes 3
page	n	1	defining	votes 2
paid	adj	1	defining	votes 1
pain	n	1	defining	votes 3
painful	adj	1	defining	votes 1
paint	n	1	defining	votes 2
paint	v	1	defining	votes 3
pair	n	1	defining	votes 1
pale	adj	1	defining	votes 2
pan	n	1	defining	votes 3
pants	n	1	defining	votes 3
paper	n	1	defining	votes 3
paragraph	n	1	defining	votes 1
pardon	interj	1	defining	votes 2
parent	n	1	defining	votes 3
park	n	1	defining	votes 2
park	v	1	defining	votes 3
parking	n	1	defining	votes 1
parliament	n	1	defining	votes 2
part	n	1	defining	votes 3
part-time	adj	1	defining	votes 1
particular	adj	1	defining	votes 2
particularly	adv	1	defining	votes 2
partly	adv	1	defining	votes 2
partner	n	1	defining	votes 3
party	n	1	defining	votes 3
pass	v	1	defining	votes 3
pass away	phrv	1	defining	votes 1
pass on	phrv	1	defining	votes 1
passenger	n	1	defining	votes 3
passion	n	1	defining	votes 1
password	n	1	defining	votes 1
past	adj	1	defining	votes 2
past	n	1	defining	votes 3
past	prep	1	defining	votes 2
pasture	n	1	defining	votes 2
path	n	1	defining	votes 3
patience	n	1	defining	votes 3
patient	adj	1	defining	votes 3
patient	n	1	defining	votes 3
pattern	n	1	defining	votes 1
pause	n	1	defining	votes 1
pay	n	1	defining	votes 2
pay	v	1	defining	votes 2
payment	n	1	defining	votes 1
peace	n	1	defining	votes 3
peel	v	1	defining	votes 2
people	n	1	defining	votes 3
per	prep	1	defining	votes 2
perfect	adj	1	defining	votes 1
perfectly	adv	1	defining	votes 1
perform	v	1	defining	votes 3
performance	n	1	defining	votes 2
perfume	n	1	defining	votes 2
perhaps	adv	1	defining	votes 3
period	n	1	defining	votes 2
permanent	adj	1	defining	votes 1
person	n	1	defining	votes 3
personal	adj	1	defining	votes 2
personality	n	1	defining	votes 1
personally	adv	1	defining	votes 1
pest	n	1	defining	votes 1
pet	n	1	defining	votes 1
pharmacy	n	1	defining	votes 1
photograph	n	1	defining	votes 1
physical	adj	1	defining	votes 2
pick	v	1	defining	votes 3
pick up	phrv	1	defining	votes 3
picture	n	1	defining	votes 3
piece	n	1	defining	votes 3
pig	n	1	defining	votes 2
pill	n	1	defining	votes 3
pilot	n	1	defining	votes 1
pink	adj	1	defining	votes 1
pipe	n	1	defining	votes 1
pity	n	1	defining	votes 1
place	n	1	defining	votes 2
place	v	1	defining	votes 2
plain	adj	1	defining	votes 2
plan	n	1	defining	votes 3
plan	v	1	defining	votes 3
plane	n	1	defining	votes 3
plant	n	1	defining	votes 3
plastic	n	1	defining	votes 3
plate	n	1	defining	votes 3
platform	n	1	defining	votes 1
play	n	1	defining	votes 3
play	v	1	defining	votes 3
player	n	1	defining	votes 2
pleasant	adj	1	defining	votes 1
please	adv	1	defining	votes 3
please	interj	1	defining	votes 2
pleased	adj	1	defining	votes 2
pleasure	n	1	defining	votes 3
plow	v	1	defining	votes 2
plug	n	1	defining	votes 1
plural	n	1	defining	votes 1
plus	prep	1	defining	votes 1
pm	abbr	1	defining	votes 2
pocket	n	1	defining	votes 3
point	n	1	defining	votes 3
point out	phrv	1	defining	votes 3
poison	n	1	defining	votes 1
police	n	1	defining	votes 3
policy	n	1	defining	votes 2
polite	adj	1	defining	votes 3
political	adj	1	defining	votes 3
politics	n	1	defining	votes 2
pool	n	1	defining	votes 1
poor	adj	1	defining	votes 2
popular	adj	1	defining	votes 2
port	n	1	defining	votes 3
position	n	1	defining	votes 2
positive	adj	1	defining	votes 1
possibility	n	1	defining	votes 1
possible	adj	1	defining	votes 2
possibly	adv	1	defining	votes 1
post-	prefix	1	defining	votes 2
pot	n	1	defining	votes 3
potato	n	1	defining	votes 1
pour	v	1	defining	votes 3
powder	n	1	defining	votes 2
power	n	1	defining	votes 3
powerful	adj	1	defining	votes 1
practice	n	1	defining	votes 2
practice	v	1	defining	votes 2
praise	v	1	defining	votes 1
pray	v	1	defining	votes 3
prayer	n	1	defining	votes 2
pre-	prefix	1	defining	votes 2
pregnancy	n	1	defining	votes 2
pregnant	adj	1	defining	votes 2
present	adj	1	defining	votes 2
present	n	1	defining	votes 3
president	n	1	defining	votes 3
press	v	1	defining	votes 2
pretty	adj	1	defining	votes 3
prevent	v	1	defining	votes 3
previous	adj	1	defining	votes 2
price	n	1	defining	votes 2
pride	n	1	defining	votes 3
priest	n	1	defining	votes 1
print	n	1	defining	votes 1
printer	n	1	defining	votes 1
prison	n	1	defining	votes 3
prisoner	n	1	defining	votes 1
private	adj	1	defining	votes 3
prize	n	1	defining	votes 2
probably	adv	1	defining	votes 3
problem	n	1	defining	votes 3
process	n	1	defining	votes 3
produce	v	1	defining	votes 2
product	n	1	defining	votes 2
profession	n	1	defining	votes 1
professional	adj	1	defining	votes 2
profit	n	1	defining	votes 2
program	n	1	defining	votes 1
progress	n	1	defining	votes 1
promise	n	1	defining	votes 1
pronoun	n	1	defining	votes 1
pronounce	v	1	defining	votes 1
pronunciation	n	1	defining	votes 1
proof	n	1	defining	votes 3
proper	adj	1	defining	votes 1
properly	adv	1	defining	votes 1
protect	v	1	defining	votes 3
protection	n	1	defining	votes 2
protest	n	1	defining	votes 1
proud	adj	1	defining	votes 3
prove	v	1	defining	votes 3
provide	v	1	defining	votes 2
public	adj	1	defining	votes 3
public	n	1	defining	votes 2
pull	v	1	defining	votes 3
pulse	n	1	defining	votes 1
punish	v	1	defining	votes 3
punishment	n	1	defining	votes 2
pure	adj	1	defining	votes 1
purple	adj	1	defining	votes 1
purpose	n	1	defining	votes 3
purse	n	1	defining	votes 2
push	v	1	defining	votes 3
put	v	1	defining	votes 3
put away	phrv	1	defining	votes 2
put back	phrv	1	defining	votes 1
put down	phrv	1	defining	votes 2
put off	phrv	1	defining	votes 1
put on	phrv	1	defining	votes 3
put together	phrv	1	defining	votes 1
put up	phrv	1	defining	votes 1
quality	n	1	defining	votes 2
quantity	n	1	defining	votes 2
quarter	n	1	defining	votes 3
queen	n	1	defining	votes 2
question	n	1	defining	votes 3
question	v	1	defining	votes 2
quick	adj	1	defining	votes 1
quickly	adv	1	defining	votes 3
quiet	adj	1	defining	votes 3
quit	v	1	defining	votes 1
quite	adv	1	defining	votes 3
race	n	1	defining	votes 3
race	v	1	defining	votes 3
radio	n	1	defining	votes 1
rail	n	1	defining	votes 1
rain	n	1	defining	votes 2
rain	v	1	defining	votes 2
raise	v	1	defining	votes 3
range	n	1	defining	votes 1
rare	adj	1	defining	votes 2
rarely	adv	1	defining	votes 2
rate	n	1	defining	votes 3
rather	adv	1	defining	votes 3
raw	adj	1	defining	votes 2
razor	n	1	defining	votes 2
re-	prefix	1	defining	votes 2
reach	v	1	defining	votes 2
read	v	1	defining	votes 3
reader	n	1	defining	votes 1
ready	adj	1	defining	votes 2
real	adj	1	defining	votes 2
realize	v	1	defining	votes 3
really	adv	1	defining	votes 3
reason	n	1	defining	votes 3
reason	v	1	defining	votes 3
reasonable	adj	1	defining	votes 1
receipt	n	1	defining	votes 2
recent	adj	1	defining	votes 1
recently	adv	1	defining	votes 2
recipe	n	1	defining	votes 1
recognize	v	1	defining	votes 3
record	n	1	defining	votes 1
recover	v	1	defining	votes 2
recovery	n	1	defining	votes 1
red	adj	1	defining	votes 2
reduce	v	1	defining	votes 1
refer	v	1	defining	votes 1
reflect	v	1	defining	votes 1
refuse	v	1	defining	votes 2
regret	v	1	defining	votes 2
regular	adj	1	defining	votes 2
regularly	adv	1	defining	votes 1
relate	v	1	defining	votes 2
related	adj	1	defining	votes 2
relation	n	1	defining	votes 2
relationship	n	1	defining	votes 3
relative	n	1	defining	votes 3
