word	pos	votes	roles
description	n	1	wordlist-1
desert	n	2	wordlist-1,wordlist-3
designer	adj	1	wordlist-1
desire	n	1	wordlist-1
desire	v	1	wordlist-1
desktop	n	1	wordlist-1
despair	n	1	wordlist-2
despair	v	1	wordlist-2
desperately	adv	1	wordlist-2
despise	v	1	wordlist-2
despite	prep	3	wordlist-1,wordlist-2,wordlist-3
dessert	n	3	wordlist-1,wordlist-2,wordlist-3
destination	n	2	wordlist-1,wordlist-2
destroy	v	1	wordlist-1
destroyed	adj	1	wordlist-1
destruction	n	1	wordlist-1
detach	v	1	wordlist-1
detailed	adj	1	wordlist-1
detergent	n	2	wordlist-1,wordlist-2
deteriorate	v	2	wordlist-2,wordlist-3
deterioration	n	1	wordlist-2
determination	n	1	wordlist-1
determine	v	1	wordlist-1
determined	adj	2	wordlist-1,wordlist-2
detest	v	1	wordlist-2
detour	n	1	wordlist-2
detour	v	1	wordlist-2
devastated	adj	1	wordlist-2
develop	v	1	wordlist-1
developer	n	1	wordlist-1
development	n	1	wordlist-1
device	n	2	wordlist-1,wordlist-3
devoted	adj	1	wordlist-2
devotion	n	1	wordlist-2
dew	n	2	wordlist-2,wordlist-3
dexterity	n	1	wordlist-2
dexterous	adj	1	wordlist-2
diabetes	n	2	wordlist-2,wordlist-3
diabetic	adj	1	wordlist-2
diagnose	v	3	wordlist-1,wordlist-2,wordlist-3
diagnosis	n	3	wordlist-1,wordlist-2,wordlist-3
diagonal	adj	1	wordlist-2
diagonal	n	1	wordlist-2
dialect	n	1	wordlist-2
dialogue	n	1	wordlist-2
diameter	n	1	wordlist-2
diarrhea	n	1	wordlist-1
diary	n	1	wordlist-1
dice	n	1	wordlist-2
dice	v	1	wordlist-1
dictator	n	1	wordlist-2
dictatorship	n	1	wordlist-2
die	v	1	wordlist-1
die out	phrv	1	wordlist-1
diesel	n	1	wordlist-1
diet	n	3	wordlist-1,wordlist-2,wordlist-3
differ	v	1	wordlist-1
difference	n	1	wordlist-1
different	adj	1	wordlist-1
differentiate	v	2	wordlist-2,wordlist-3
difficult	adj	1	wordlist-1
digest	v	2	wordlist-1,wordlist-2
digestion	n	2	wordlist-1,wordlist-2
digital	adj	2	wordlist-1,wordlist-3
dignity	n	1	wordlist-2
dilapidated	adj	1	wordlist-2
dilemma	n	1	wordlist-2
diligent	adj	1	wordlist-2
dilute	adj	1	wordlist-2
dilute	v	1	wordlist-2
dilution	n	1	wordlist-2
dim	adj	2	wordlist-1,wordlist-2
dim	v	2	wordlist-1,wordlist-2
dimension	n	2	wordlist-2,wordlist-3
diminish	v	1	wordlist-2
dimple	n	1	wordlist-2
dine	v	1	wordlist-3
diner	n	1	wordlist-3
dip	n	2	wordlist-2,wordlist-3
dip	v	2	wordlist-2,wordlist-3
diplomacy	n	2	wordlist-1,wordlist-2
diplomat	n	1	wordlist-2
diplomatic	adj	2	wordlist-1,wordlist-2
direct	adj	1	wordlist-1
direct	adv	1	wordlist-1
direction	n	1	wordlist-1
directly	adv	2	wordlist-1,wordlist-3
director	n	2	wordlist-1,wordlist-2
dis-	prefix	2	wordlist-1,wordlist-3
disability	n	1	wordlist-1
disable	v	1	wordlist-1
disabled	adj	1	wordlist-1
disadvantage	n	1	wordlist-1
disagree	v	1	wordlist-1
disagreement	n	1	wordlist-1
disappoint	v	1	wordlist-1
disappointed	adj	2	wordlist-1,wordlist-2
disappointment	n	2	wordlist-1,wordlist-2
disarmament	n	1	wordlist-2
discern	v	1	wordlist-3
discharge	v	1	wordlist-1
discipline	n	2	wordlist-1,wordlist-2
discipline	v	2	wordlist-1,wordlist-2
disclose	v	1	wordlist-3
disconnect	v	1	wordlist-1
discount	n	1	wordlist-1
discover	v	1	wordlist-1
discreet	adj	1	wordlist-2
discrepancy	n	1	wordlist-2
discriminate	v	2	wordlist-1,wordlist-2
discrimination	n	2	wordlist-1,wordlist-2
discuss	v	1	wordlist-1
discussion	n	1	wordlist-1
disease	n	1	wordlist-1
disembark	v	1	wordlist-2
disgust	n	1	wordlist-2
disgust	v	1	wordlist-2
dish	n	2	wordlist-1,wordlist-3
disheartened	adj	1	wordlist-2
dishwasher	n	2	wordlist-1,wordlist-2
disinfect	v	1	wordlist-1
disinfectant	n	2	wordlist-1,wordlist-2
dismantle	v	1	wordlist-2
dismiss	v	2	wordlist-1,wordlist-3
disorder	n	2	wordlist-2,wordlist-3
disorganized	adj	1	wordlist-1
disperse	v	1	wordlist-2
displace	v	1	wordlist-2
displacement	n	1	wordlist-2
display	n	1	wordlist-1
display	v	2	wordlist-1,wordlist-3
disposable	adj	1	wordlist-1
dispose of	phrv	1	wordlist-1
disposition	n	1	wordlist-2
dispute	n	2	wordlist-1,wordlist-2
dispute	v	2	wordlist-1,wordlist-2
disregard	n	1	wordlist-3
disregard	v	1	wordlist-3
disrupt	v	1	wordlist-2
disruption	n	1	wordlist-2
dissertation	n	1	wordlist-2
dissolve	v	2	wordlist-1,wordlist-2
distance	n	1	wordlist-1
distant	adj	1	wordlist-1
distinctly	adv	1	wordlist-2
distinguish	v	3	wordlist-1,wordlist-2,wordlist-3
distort	v	1	wordlist-3
distress	n	1	wordlist-2
distress	v	1	wordlist-2
distributor	n	1	wordlist-2
district	n	2	wordlist-1,wordlist-2
diverge	v	1	wordlist-2
divide	v	1	wordlist-3
dividend	n	1	wordlist-2
divorce	n	2	wordlist-1,wordlist-2
divorce	v	2	wordlist-1,wordlist-2
diy	abbr	3	wordlist-1,wordlist-2,wordlist-3
diy store	n	1	wordlist-3
dizziness	n	1	wordlist-2
dizzy	adj	3	wordlist-1,wordlist-2,wordlist-3
do	v	1	wordlist-3
do without	phrv	1	wordlist-3
dob	abbr	1	wordlist-2
dock	n	2	wordlist-2,wordlist-3
dock	v	1	wordlist-2
doctrine	n	1	wordlist-2
document	n	2	wordlist-1,wordlist-3
dodge	n	1	wordlist-2
dodge	v	1	wordlist-2
dolphin	n	1	wordlist-3
domestic	adj	2	wordlist-1,wordlist-2
domesticate	v	2	wordlist-2,wordlist-3
domesticated	adj	1	wordlist-2
donkey	n	1	wordlist-3
doorbell	n	1	wordlist-2
doorknob	n	1	wordlist-2
doormat	n	1	wordlist-2
dose	n	3	wordlist-1,wordlist-2,wordlist-3
dose	v	1	wordlist-1
doubt	n	2	wordlist-1,wordlist-3
doubt	v	2	wordlist-1,wordlist-3
doubtful	adj	1	wordlist-1
dough	n	3	wordlist-1,wordlist-2,wordlist-3
down-	prefix	1	wordlist-3
download	n	2	wordlist-1,wordlist-3
download	v	2	wordlist-1,wordlist-3
downpour	n	2	wordlist-2,wordlist-3
downsize	v	1	wordlist-2
downstairs	adv	2	wordlist-1,wordlist-2
downstream	adj	1	wordlist-3
downtown	n	1	wordlist-3
downward	adj	1	wordlist-2
downward	adv	1	wordlist-1
downwards	adv	1	wordlist-2
doze	v	2	wordlist-1,wordlist-2
doze off	phrv	1	wordlist-2
dozen	det	1	wordlist-2
dozen	n	1	wordlist-2
dozen	num	1	wordlist-2
dr.	abbr	1	wordlist-1
draft	n	1	wordlist-2
draft	v	1	wordlist-2
drag	n	1	wordlist-2
drag	v	3	wordlist-1,wordlist-2,wordlist-3
drain	n	3	wordlist-1,wordlist-2,wordlist-3
drain	v	2	wordlist-1,wordlist-2
drainage	n	1	wordlist-3
drama	n	1	wordlist-3
dramatic	adj	1	wordlist-2
dramatically	adv	1	wordlist-2
drastic	adj	1	wordlist-2
drastically	adv	1	wordlist-2
draughty	adj	1	wordlist-2
draw	v	1	wordlist-3
drawback	n	1	wordlist-2
drawer	n	1	wordlist-1
drawing	n	1	wordlist-3
dread	n	1	wordlist-2
dread	v	1	wordlist-2
dreadful	adj	2	wordlist-2,wordlist-3
dreadfully	adv	2	wordlist-2,wordlist-3
drench	v	1	wordlist-2
dress	n	1	wordlist-3
dress up	phrv	3	wordlist-1,wordlist-2,wordlist-3
dresser	n	1	wordlist-2
dressing	n	1	wordlist-3
dribble	v	1	wordlist-2
drift	n	1	wordlist-2
drift	v	2	wordlist-1,wordlist-2
drift off	phrv	1	wordlist-1
drill	n	2	wordlist-1,wordlist-3
drill	v	2	wordlist-1,wordlist-3
drip	v	1	wordlist-1
drive	v	1	wordlist-1
driveway	n	2	wordlist-1,wordlist-2
drizzle	n	3	wordlist-1,wordlist-2,wordlist-3
drizzle	v	1	wordlist-2
drop	v	2	wordlist-1,wordlist-3
drop off	phrv	2	wordlist-1,wordlist-3
drought	n	3	wordlist-1,wordlist-2,wordlist-3
drowsiness	n	1	wordlist-2
drowsy	adj	1	wordlist-2
drug	n	1	wordlist-1
drum	n	1	wordlist-3
dry	adj	1	wordlist-1
dry	v	1	wordlist-1
dry cleaner	n	1	wordlist-3
dryer	n	2	wordlist-1,wordlist-2
dubious	adj	1	wordlist-2
dubiously	adv	1	wordlist-2
duck	n	1	wordlist-3
ductile	adj	1	wordlist-2
due to	prep	1	wordlist-1
duffel	n	1	wordlist-3
dull	adj	2	wordlist-1,wordlist-2
dune	n	2	wordlist-2,wordlist-3
durability	n	1	wordlist-2
durable	adj	2	wordlist-1,wordlist-2
duration	n	1	wordlist-2
dusk	n	2	wordlist-2,wordlist-3
dust	n	1	wordlist-1
dust	v	2	wordlist-1,wordlist-2
duster	n	1	wordlist-2
dustpan	n	2	wordlist-1,wordlist-2
dusty	adj	1	wordlist-1
duvet	n	2	wordlist-1,wordlist-2
dvd	abbr	1	wordlist-3
dwelling	n	1	wordlist-2
dye	n	1	wordlist-1
dye	v	1	wordlist-1
e.g.	abbr	3	wordlist-1,wordlist-2,wordlist-3
each	pron	1	wordlist-3
eager	adj	1	wordlist-1
eagerly	adv	1	wordlist-2
earlier	adv	1	wordlist-1
earn	v	1	wordlist-1
earring	n	2	wordlist-1,wordlist-2
earrings	n	1	wordlist-3
earthquake	n	3	wordlist-1,wordlist-2,wordlist-3
easel	n	1	wordlist-2
easily	adv	2	wordlist-1,wordlist-3
eastern	adj	1	wordlist-1
eat out	phrv	1	wordlist-3
eccentric	adj	2	wordlist-2,wordlist-3
eccentric	n	1	wordlist-2
eccentrically	adv	1	wordlist-3
echo	n	2	wordlist-1,wordlist-2
echo	v	2	wordlist-1,wordlist-2
eclipse	n	1	wordlist-3
eco-	comb	1	wordlist-2
economic	adj	1	wordlist-1
economy	n	1	wordlist-1
ecosystem	n	2	wordlist-1,wordlist-3
ecstatic	adj	1	wordlist-2
edge	n	1	wordlist-1
edge forward	phrv	1	wordlist-2
edible	adj	3	wordlist-1,wordlist-2,wordlist-3
edible	n	1	wordlist-2
edit	v	2	wordlist-1,wordlist-2
edition	n	2	wordlist-1,wordlist-2
editor	n	1	wordlist-2
editorial	adj	1	wordlist-2
editorial	n	1	wordlist-2
education	n	1	wordlist-1
educational	adj	1	wordlist-1
effect	n	1	wordlist-1
effective	adj	1	wordlist-1
effectively	adv	2	wordlist-1,wordlist-3
effervescence	n	1	wordlist-2
effervescent	adj	1	wordlist-2
efficiency	n	1	wordlist-1
efficient	adj	1	wordlist-1
effort	n	1	wordlist-1
effortless	adj	1	wordlist-2
effortlessly	adv	1	wordlist-2
egg	n	1	wordlist-3
either	det	1	wordlist-2
either	pron	2	wordlist-2,wordlist-3
elaborate	adj	1	wordlist-2
elaborate	v	1	wordlist-2
elastic	adj	2	wordlist-1,wordlist-2
elasticity	n	1	wordlist-2
elderly	adj	2	wordlist-1,wordlist-2
elect	v	1	wordlist-1
election	n	2	wordlist-1,wordlist-2
electric	adj	2	wordlist-1,wordlist-3
electrician	n	1	wordlist-1
electronic	adj	2	wordlist-1,wordlist-3
elegant	adj	1	wordlist-1
element	n	1	wordlist-2
elementary	adj	1	wordlist-1
elephant	n	1	wordlist-3
elevation	n	1	wordlist-2
elevator	n	1	wordlist-1
elimination	n	1	wordlist-2
elongate	v	1	wordlist-2
elongated	adj	1	wordlist-2
eloquent	adj	1	wordlist-2
elsewhere	adv	3	wordlist-1,wordlist-2,wordlist-3
elucidate	v	1	wordlist-3
email	n	2	wordlist-1,wordlist-3
email	v	2	wordlist-1,wordlist-3
embargo	n	1	wordlist-2
embark	v	1	wordlist-2
embarrass	v	2	wordlist-1,wordlist-2
embarrassed	adj	1	wordlist-1
embarrassment	n	1	wordlist-1
embassy	n	2	wordlist-1,wordlist-2
embed	v	1	wordlist-2
embody	v	1	wordlist-3
embrace	n	1	wordlist-2
embrace	v	1	wordlist-2
embroidery	n	1	wordlist-2
emerge	v	2	wordlist-1,wordlist-2
emergence	n	1	wordlist-2
emergency	adj	1	wordlist-1
emergency	n	1	wordlist-1
emit	v	1	wordlist-3
emotion	n	1	wordlist-1
empathize	v	1	wordlist-2
empathy	n	1	wordlist-2
emphasis	n	1	wordlist-2
emphasize	v	3	wordlist-1,wordlist-2,wordlist-3
empirical	adj	2	wordlist-1,wordlist-2
employ	v	1	wordlist-1
employee	n	1	wordlist-1
employer	n	1	wordlist-1
employment	n	1	wordlist-1
enable	v	1	wordlist-1
encapsulate	v	1	wordlist-3
encourage	v	1	wordlist-1
encrypt	v	1	wordlist-3
encyclopedia	n	1	wordlist-2
end up	phrv	2	wordlist-2,wordlist-3
endangered	adj	2	wordlist-1,wordlist-2
endeavor	n	1	wordlist-2
endeavor	v	1	wordlist-2
endorse	v	1	wordlist-2
endorsement	n	1	wordlist-2
energetic	adj	1	wordlist-1
energy-efficient	adj	1	wordlist-1
enforce	v	1	wordlist-1
engaged	adj	1	wordlist-1
engagement	n	1	wordlist-1
engine	n	2	wordlist-1,wordlist-3
enlighten	v	2	wordlist-2,wordlist-3
enormous	adj	2	wordlist-2,wordlist-3
enough	adv	1	wordlist-1
enough	pron	1	wordlist-3
enrol	v	1	wordlist-1
ensemble	n	1	wordlist-3
entail	v	1	wordlist-3
enter	v	1	wordlist-1
entertainment	n	1	wordlist-3
enthusiasm	n	2	wordlist-1,wordlist-2
enthusiastic	adj	2	wordlist-1,wordlist-2
entire	adj	1	wordlist-1
entirely	adv	1	wordlist-1
entrance	n	1	wordlist-1
entree	n	1	wordlist-3
entrepreneur	n	1	wordlist-2
envious	adj	1	wordlist-2
environment	n	1	wordlist-1
environmental	adj	1	wordlist-1
envision	v	1	wordlist-3
envy	n	2	wordlist-1,wordlist-2
envy	v	1	wordlist-2
epidemic	n	2	wordlist-2,wordlist-3
eq	abbr	1	wordlist-2
equal	adj	1	wordlist-1
equality	n	1	wordlist-1
equation	n	2	wordlist-1,wordlist-2
equator	n	2	wordlist-2,wordlist-3
equestrian	adj	1	wordlist-2
equinox	n	2	wordlist-2,wordlist-3
equipment	n	1	wordlist-1
equity	n	1	wordlist-2
era	n	1	wordlist-2
erect	v	1	wordlist-2
erosion	n	2	wordlist-2,wordlist-3
errand	n	2	wordlist-1,wordlist-2
erroneous	adj	1	wordlist-2
erroneously	adv	1	wordlist-2
error	n	1	wordlist-1
erupt	v	3	wordlist-1,wordlist-2,wordlist-3
eruption	n	2	wordlist-1,wordlist-2
escalator	n	1	wordlist-1
escape	n	1	wordlist-1
escape	v	1	wordlist-1
especially	adv	2	wordlist-1,wordlist-3
essay	n	1	wordlist-2
essential	adj	3	wordlist-1,wordlist-2,wordlist-3
essentially	adv	1	wordlist-3
est.	abbr	1	wordlist-1
establish	v	1	wordlist-1
estate	n	2	wordlist-2,wordlist-3
estate agent	n	1	wordlist-2
estimate	n	3	wordlist-1,wordlist-2,wordlist-3
estimate	v	3	wordlist-1,wordlist-2,wordlist-3
estimation	n	1	wordlist-2
estrange	v	1	wordlist-2
estranged	adj	1	wordlist-2
estuary	n	2	wordlist-2,wordlist-3
eta	abbr	2	wordlist-2,wordlist-3
etc.	abbr	3	wordlist-1,wordlist-2,wordlist-3
eternal	adj	1	wordlist-2
eternity	n	1	wordlist-2
ethical	adj	2	wordlist-1,wordlist-2
ethics	n	2	wordlist-1,wordlist-2
evacuate	v	1	wordlist-1
evaluate	v	3	wordlist-1,wordlist-2,wordlist-3
evaluation	n	2	wordlist-1,wordlist-2
evaluation	v	1	wordlist-1
evaporate	v	2	wordlist-1,wordlist-2
evaporation	n	1	wordlist-2
even	adj	2	wordlist-2,wordlist-3
even though	conj	1	wordlist-1
eventually	adv	3	wordlist-1,wordlist-2,wordlist-3
evergreen	adj	1	wordlist-2
everybody	pron	1	wordlist-3
everyday	adj	1	wordlist-3
everyone	pron	1	wordlist-3
everything	pron	1	wordlist-3
evidence	n	2	wordlist-1,wordlist-2
evidently	adv	1	wordlist-2
evolution	n	1	wordlist-2
evolve	v	1	wordlist-2
ex-	prefix	3	wordlist-1,wordlist-2,wordlist-3
exact	adj	1	wordlist-3
exactly	adv	3	wordlist-1,wordlist-2,wordlist-3
examination	n	1	wordlist-1
examine	v	1	wordlist-1
examiner	n	1	wordlist-1
example	n	1	wordlist-1
exceed	v	1	wordlist-2
excellent	adj	2	wordlist-1,wordlist-3
excellently	adv	1	wordlist-3
except	conj	1	wordlist-1
except	prep	2	wordlist-1,wordlist-3
excepting	prep	2	wordlist-2,wordlist-3
exceptional	adj	3	wordlist-1,wordlist-2,wordlist-3
exceptionally	adv	2	wordlist-2,wordlist-3
excerpt	n	1	wordlist-2
excess	n	1	wordlist-3
excessive	adj	1	wordlist-2
excessively	adv	2	wordlist-2,wordlist-3
exchange	v	1	wordlist-1
exchange rate	n	1	wordlist-1
excite	v	1	wordlist-1
excited	adj	1	wordlist-1
excitement	n	1	wordlist-1
excl.	abbr	1	wordlist-1
exclaim	v	1	wordlist-2
excluding	prep	1	wordlist-1
exclusively	adv	1	wordlist-2
excursion	n	1	wordlist-2
excuse me	phr	2	wordlist-2,wordlist-3
execute	v	1	wordlist-3
executive	adj	1	wordlist-2
executive	n	2	wordlist-1,wordlist-2
exemplify	v	1	wordlist-3
exempt	adj	1	wordlist-2
exemption	n	1	wordlist-2
exercise	n	2	wordlist-1,wordlist-3
exercise	v	3	wordlist-1,wordlist-2,wordlist-3
exert	v	1	wordlist-2
exhale	v	1	wordlist-2
exhaust	n	1	wordlist-2
exhausted	adj	1	wordlist-1
exhaustion	n	1	wordlist-2
exhibit	v	1	wordlist-3
exhibition	n	1	wordlist-2
exist	v	1	wordlist-1
exit	n	1	wordlist-1
exit	v	1	wordlist-1
exotic	adj	1	wordlist-2
expand	v	2	wordlist-1,wordlist-2
expande	v	1	wordlist-3
expansion	n	3	wordlist-1,wordlist-2,wordlist-3
expansive	adj	1	wordlist-3
expect	v	1	wordlist-1
expectation	n	1	wordlist-1
expedition	n	1	wordlist-2
expenditure	n	1	wordlist-2
expense	n	1	wordlist-1
expensive	adj	1	wordlist-1
experience	n	1	wordlist-1
experienced	adj	1	wordlist-1
experiment	n	2	wordlist-1,wordlist-2
experiment	v	2	wordlist-1,wordlist-2
experimental	adj	1	wordlist-1
expertise	n	1	wordlist-2
expiry	n	1	wordlist-1
explain	v	1	wordlist-1
explanation	n	1	wordlist-1
explicate	v	1	wordlist-3
explicitly	adv	1	wordlist-2
explode	v	1	wordlist-1
explosion	n	1	wordlist-1
export	n	1	wordlist-1
export	v	1	wordlist-1
expose	v	1	wordlist-3
express	v	2	wordlist-1,wordlist-3
expression	n	1	wordlist-1
expressive	adj	1	wordlist-2
expressway	n	1	wordlist-2
ext.	abbr	1	wordlist-1
extended	adj	1	wordlist-2
extensive	adj	1	wordlist-1
extent	n	2	wordlist-2,wordlist-3
extinct	adj	2	wordlist-1,wordlist-2
extinction	n	2	wordlist-1,wordlist-2
extra-	prefix	1	wordlist-1
extract	v	2	wordlist-2,wordlist-3
extraction	n	1	wordlist-2
extraordinarily	adv	1	wordlist-2
extraordinary	adj	1	wordlist-2
extreme	adj	1	wordlist-1
extremely	adv	2	wordlist-1,wordlist-3
extremist	n	1	wordlist-1
extroverted	adj	1	wordlist-2
eyeliner	n	1	wordlist-2
fabric	n	2	wordlist-1,wordlist-3
fabulous	adj	1	wordlist-2
fabulously	adv	1	wordlist-2
facade	n	2	wordlist-1,wordlist-2
facilitate	v	1	wordlist-2
facility	n	2	wordlist-1,wordlist-2
fact	n	1	wordlist-1
factor	n	2	wordlist-1,wordlist-2
factory	n	1	wordlist-1
faculty	n	2	wordlist-1,wordlist-2
fade	v	2	wordlist-1,wordlist-2
faded	adj	1	wordlist-3
failure	n	1	wordlist-1
faint	adj	1	wordlist-2
faint	v	2	wordlist-2,wordlist-3
fair	adj	1	wordlist-1
fairly	adv	2	wordlist-1,wordlist-3
faith	n	2	wordlist-1,wordlist-2
faithful	adj	1	wordlist-1
fall	n	1	wordlist-1
fall	v	3	wordlist-1,wordlist-2,wordlist-3
fall asleep	phrv	1	wordlist-1
fall down	phrv	2	wordlist-1,wordlist-3
fall out	phrv	1	wordlist-3
fall out	v	1	wordlist-2
fall over	phrv	1	wordlist-3
false	adj	2	wordlist-1,wordlist-3
falsely	adv	1	wordlist-3
familiar	adj	2	wordlist-1,wordlist-3
familiarly	adv	1	wordlist-3
fan	n	1	wordlist-3
fantastic	adj	1	wordlist-3
fantastically	adv	1	wordlist-3
faq	abbr	3	wordlist-1,wordlist-2,wordlist-3
fare	n	2	wordlist-1,wordlist-2
farewell	interj	2	wordlist-2,wordlist-3
farewell	n	1	wordlist-2
farm	n	1	wordlist-3
farm	v	1	wordlist-3
farmer	n	2	wordlist-1,wordlist-3
farmhouse	n	1	wordlist-1
farming	n	1	wordlist-1
fashionable	adj	1	wordlist-1
fast food	n	1	wordlist-3
fasten	v	2	wordlist-1,wordlist-2
fastening	n	1	wordlist-1
fat	n	2	wordlist-1,wordlist-2
fatal	adj	2	wordlist-1,wordlist-2
fatigue	n	2	wordlist-2,wordlist-3
faucet	n	1	wordlist-2
fault	n	1	wordlist-1
faulty	adj	1	wordlist-1
fauna	n	1	wordlist-2
fear	n	1	wordlist-1
fear	v	1	wordlist-1
feasibility	n	1	wordlist-2
feast	n	2	wordlist-2,wordlist-3
feather	n	2	wordlist-2,wordlist-3
feature	n	1	wordlist-1
fee	n	1	wordlist-1
feed	n	1	wordlist-1
feed	v	1	wordlist-1
feedback	n	1	wordlist-1
feel	v	3	wordlist-1,wordlist-2,wordlist-3
fen	n	1	wordlist-3
fence	n	3	wordlist-1,wordlist-2,wordlist-3
fence	v	1	wordlist-1
feral	adj	2	wordlist-2,wordlist-3
ferment	v	2	wordlist-2,wordlist-3
fermentation	n	1	wordlist-2
ferry	n	2	wordlist-1,wordlist-2
ferry	v	1	wordlist-2
fertile	adj	3	wordlist-1,wordlist-2,wordlist-3
fertilize	v	1	wordlist-1
fertilizer	n	3	wordlist-1,wordlist-2,wordlist-3
festival	n	2	wordlist-2,wordlist-3
fever	n	2	wordlist-1,wordlist-2
few	det	1	wordlist-2
few	pron	2	wordlist-2,wordlist-3
fewer	pron	1	wordlist-3
fewest	pron	1	wordlist-3
fiancé	n	2	wordlist-1,wordlist-2
fiancée	n	2	wordlist-1,wordlist-2
fiber	n	2	wordlist-1,wordlist-2
fibre	n	1	wordlist-1
fibrous	adj	1	wordlist-2
fickle	adj	1	wordlist-2
fiction	n	2	wordlist-2,wordlist-3
fictional	adj	1	wordlist-1
field	n	2	wordlist-1,wordlist-3
figure	v	1	wordlist-2
figure out	phrv	2	wordlist-1,wordlist-3
file	n	2	wordlist-1,wordlist-3
fill in	phrv	2	wordlist-1,wordlist-3
fill out	phrv	2	wordlist-1,wordlist-3
fill up	phrv	1	wordlist-3
fillet	n	1	wordlist-2
fillet	v	1	wordlist-2
filling	adj	1	wordlist-3
film	n	1	wordlist-3
film	v	1	wordlist-3
filter	n	1	wordlist-1
filter	v	1	wordlist-1
fin	n	1	wordlist-2
final	adj	1	wordlist-1
final	n	1	wordlist-3
finally	adv	2	wordlist-1,wordlist-3
financial	adj	1	wordlist-1
find	v	1	wordlist-3
find out	phrv	2	wordlist-1,wordlist-3
finding	n	2	wordlist-1,wordlist-2
fine	n	1	wordlist-1
fire	n	1	wordlist-1
fire	v	1	wordlist-1
fire station	n	1	wordlist-3
firefighter	n	1	wordlist-1
fireplace	n	1	wordlist-2
firewall	n	1	wordlist-3
first aid	n	1	wordlist-3
fiscal	adj	1	wordlist-2
fish	n	2	wordlist-1,wordlist-3
fit	adj	1	wordlist-1
fitness	n	1	wordlist-1
fitting	adj	1	wordlist-2
fitting	n	1	wordlist-1
fix	v	1	wordlist-1
fixture	n	1	wordlist-2
fjord	n	1	wordlist-3
flammable	adj	1	wordlist-2
flash	n	2	wordlist-1,wordlist-2
flash	v	2	wordlist-1,wordlist-2
flat	adj	2	wordlist-1,wordlist-3
flattering	adj	1	wordlist-3
flavor	n	3	wordlist-1,wordlist-2,wordlist-3
flavor	v	1	wordlist-2
flavorful	adj	1	wordlist-3
flavour	n	2	wordlist-1,wordlist-2
flavour	v	2	wordlist-1,wordlist-2
flawed	adj	2	wordlist-2,wordlist-3
flawless	adj	1	wordlist-2
flee	v	1	wordlist-2
fleece	n	2	wordlist-2,wordlist-3
fleet	n	1	wordlist-2
flesh	n	1	wordlist-3
flexible	adj	2	wordlist-1,wordlist-2
flick	n	1	wordlist-2
flick	v	1	wordlist-2
flicker	n	1	wordlist-2
flicker	v	1	wordlist-2
flight	n	1	wordlist-1
fling	v	1	wordlist-2
flirt	n	1	wordlist-2
flirt	v	1	wordlist-2
float	v	2	wordlist-1,wordlist-2
flock	n	3	wordlist-1,wordlist-2,wordlist-3
flock	v	2	wordlist-2,wordlist-3
flood	n	2	wordlist-1,wordlist-3
flood	v	1	wordlist-1
flooring	n	1	wordlist-1
flora	n	1	wordlist-2
floral	adj	2	wordlist-1,wordlist-3
florist	n	2	wordlist-2,wordlist-3
floss	n	1	wordlist-1
floss	v	1	wordlist-1
flour	n	3	wordlist-1,wordlist-2,wordlist-3
flow	v	1	wordlist-1
flowering	adj	1	wordlist-1
flu	n	1	wordlist-1
fluctuate	v	1	wordlist-2
fluctuation	n	1	wordlist-2
fluency	n	1	wordlist-2
fluent	adj	1	wordlist-2
fluid	adj	1	wordlist-2
fluid	n	1	wordlist-2
fly	v	1	wordlist-1
flyer	n	1	wordlist-2
flyover	n	1	wordlist-3
foal	n	1	wordlist-2
foam	n	1	wordlist-2
foam	v	1	wordlist-2
focus	n	1	wordlist-1
focus	v	1	wordlist-1
fog	n	3	wordlist-1,wordlist-2,wordlist-3
foggy	adj	2	wordlist-1,wordlist-2
fold	n	1	wordlist-2
fold	v	2	wordlist-1,wordlist-2
folder	n	2	wordlist-1,wordlist-3
foliage	n	1	wordlist-2
follow	v	2	wordlist-1,wordlist-3
following	adj	1	wordlist-2
following	prep	2	wordlist-2,wordlist-3
fond	adj	1	wordlist-2
font	n	1	wordlist-2
foodie	n	1	wordlist-3
football	n	1	wordlist-3
footnote	n	1	wordlist-2
footwear	n	1	wordlist-2
forage	n	1	wordlist-2
forage	v	1	wordlist-2
forecast	n	3	wordlist-1,wordlist-2,wordlist-3
forecast	v	2	wordlist-1,wordlist-2
foreign	adj	1	wordlist-1
foresee	v	1	wordlist-3
foresight	n	1	wordlist-3
forest	n	1	wordlist-1
foreword	n	1	wordlist-2
forge	v	1	wordlist-2
forgery	n	1	wordlist-1
forget	v	1	wordlist-1
forgive	v	1	wordlist-1
fork	n	2	wordlist-1,wordlist-3
form	v	1	wordlist-1
formal	adj	2	wordlist-1,wordlist-2
formally	adv	1	wordlist-1
format	n	2	wordlist-1,wordlist-3
format	v	2	wordlist-1,wordlist-3
former	adj	1	wordlist-1
formula	n	2	wordlist-1,wordlist-2
formulate	v	1	wordlist-2
forthcoming	adj	1	wordlist-2
fortunately	adv	2	wordlist-1,wordlist-3
forward	adj	1	wordlist-2
forward	adv	1	wordlist-1
forwards	adv	1	wordlist-2
fossil	n	1	wordlist-3
foster	adj	1	wordlist-2
foster	v	1	wordlist-2
foul	adj	1	wordlist-2
foul	n	1	wordlist-2
foul	v	1	wordlist-2
foundation	n	1	wordlist-2
