word	pos	band_median	votes	by_role
dessert	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
destination	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
destroy	v	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
destruction	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
detail	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
detergent	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
deteriorate	v	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=3
determined	adj	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
develop	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
development	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
device	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
dew	n	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=3
diabetes	n	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
diagnose	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
diagnosis	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
dialect	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
dictionary	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
die	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
diet	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
difference	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
different	adj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
differentiate	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
differently	adv	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
difficult	adj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
difficulty	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
digest	v	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=3
digestion	n	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=3
digital	adj	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
dim	adj	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
dim	v	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=3
dimension	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
dimple	n	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=3
dinner	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
dip	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
dip	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
diplomacy	n	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=3
diplomatic	adj	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=3
direct	adj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
direction	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
directly	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
director	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
dirt	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
dirty	adj	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
dis-	prefix	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
disability	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
disabled	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
disadvantage	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
disagree	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
disappear	v	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
disappoint	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
disappointed	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
disappointment	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
discipline	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
discipline	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
disconnect	v	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
discount	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
discover	v	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
discovery	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
discriminate	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
discrimination	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
discuss	v	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
discussion	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
disease	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
disgust	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
dish	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
dishonest	adj	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
dishwasher	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
disinfectant	n	4	3	wordlist-1=4,wordlist-2=3,wordlist-3=4
dislike	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
dismiss	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
disorder	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
display	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
display	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
dispute	n	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
dispute	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
dissolve	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
distance	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
distant	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
distinguish	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
district	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
divide	v	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
divorce	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
divorce	v	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
divorced	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
diy	abbr	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=4
dizzy	adj	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
do	aux	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
do	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
dock	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
doctor	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
document	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
dog	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
domestic	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
domesticate	v	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=4
door	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
dose	n	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
double	adj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
double	v	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
doubt	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
doubt	v	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
dough	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
down	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
down	prep	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
download	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
download	v	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
downpour	n	4	3	wordlist-1=4,wordlist-2=3,wordlist-3=4
downstairs	adv	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
doze	v	4	3	wordlist-1=4,wordlist-2=3,wordlist-3=4
dr	abbr	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
drag	v	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
drain	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
drain	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
draw	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
drawer	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
dreadful	adj	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
dreadfully	adv	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=3
dream	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
dream	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
dress	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
dress	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
dress up	phrv	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
drift	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
drill	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
drill	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
drink	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
drink	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
drink up	phrv	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
drive	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=3
drive	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
driver	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
driveway	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
drizzle	n	4	3	wordlist-1=4,wordlist-2=3,wordlist-3=4
drop	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=3
drop	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
drop off	phrv	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
drought	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
drug	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
drum	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
drunk	adj	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
dry	adj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
dry	v	2	3	wordlist-1=1,wordlist-2=2,wordlist-3=2
dryer	n	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
dryness	n	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=4
duck	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
dull	adj	2	3	wordlist-1=2,wordlist-2=3,wordlist-3=2
dumb	adj	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
dune	n	4	3	wordlist-1=4,wordlist-2=3,wordlist-3=4
durable	adj	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
during	prep	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
dusk	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
dust	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
dust	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
dustpan	n	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=4
duty	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
duvet	n	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=3
e.g.	abbr	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
each	det	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
each	pron	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
ear	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
early	adj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
early	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
earn	v	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
earring	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
earth	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
earthquake	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
easily	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
easy	adj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
eat	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
eat up	phrv	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
eccentric	adj	4	3	wordlist-1=4,wordlist-2=3,wordlist-3=4
echo	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
echo	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
economic	adj	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
economy	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
ecosystem	n	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
ed	abbr	4	3	wordlist-1=4,wordlist-2=3,wordlist-3=4
edge	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
edible	adj	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
edit	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
edition	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
effect	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
effective	adj	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
effectively	adv	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
effort	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
egg	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
eight	num	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
either	conj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
either	det	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
either	pron	1	3	wordlist-1=1,wordlist-2=2,wordlist-3=1
elastic	adj	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
elasticity	n	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=3
elderly	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
elect	v	2	3	wordlist-1=4,wordlist-2=2,wordlist-3=2
election	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
electric	adj	1	3	wordlist-1=3,wordlist-2=1,wordlist-3=1
electricity	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=1
electronic	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=1
else	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
elsewhere	adv	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
email	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
email	v	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
embarrass	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
embassy	n	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
emerge	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
emergency	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
emotion	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=1
emotional	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
emphasize	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
empirical	adj	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=3
employ	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
employee	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
employer	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
empty	adj	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
empty	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
en-	prefix	4	3	wordlist-1=5,wordlist-2=3,wordlist-3=4
encourage	v	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
end	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
end	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
end up	phrv	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
endangered	adj	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
enemy	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
energy	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
engine	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
enjoy	v	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
enjoyment	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
enlighten	v	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=4
enormous	adj	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
enough	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
enough	det	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
enough	pron	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
enter	v	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
entertain	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
enthusiasm	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
enthusiastic	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
entrance	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
envy	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
envy	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
epidemic	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
equal	adj	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
equal	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
equality	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
equation	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
equator	n	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=4
equinox	n	5	3	wordlist-1=5,wordlist-2=4,wordlist-3=5
equipment	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
er	interj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=4
era	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
erosion	n	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=3
errand	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
error	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
erupt	v	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=3
eruption	n	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=3
escape	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
escape	v	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
especially	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
essential	adj	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
est	abbr	4	3	wordlist-1=4,wordlist-2=3,wordlist-3=4
estate	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
estimate	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
estimate	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
estuary	n	4	3	wordlist-1=5,wordlist-2=4,wordlist-3=4
eta	abbr	4	3	wordlist-1=5,wordlist-2=3,wordlist-3=4
etc.	abbr	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
ethical	adj	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
ethics	n	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
evaluate	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
evaluation	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
evaporate	v	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=3
even	adj	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
even	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
evening	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
event	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
eventually	adv	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
ever	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
every	det	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
everybody	pron	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
everyone	pron	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
everything	pron	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
everywhere	adv	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=1
evidence	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
ex-	prefix	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=4
exact	adj	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
exactly	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
examine	v	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
example	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
excellent	adj	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
except	conj	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
except	prep	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
excepting	prep	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=4
exceptional	adj	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
exceptionally	adv	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
excessively	adv	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
exchange	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
exchange	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
excite	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
excited	adj	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
excitement	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
excuse me	phr	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
executive	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
exercise	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
exercise	v	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
exist	v	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
exit	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
exit	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
expand	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
expansion	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
expect	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
expensive	adj	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
experience	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
experience	v	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
experiment	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
experiment	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
expert	adj	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=3
expert	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=3
explain	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
explanation	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
express	v	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
extent	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
extinct	adj	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
extinction	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
extract	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
extremely	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
eye	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
fabric	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
facade	n	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=4
face	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
facility	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
fact	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
factor	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
factory	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
faculty	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
fade	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
failure	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
faint	v	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=3
fair	adj	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
fairly	adv	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
faith	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
fall	n	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
fall	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=2
fall apart	phrv	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
fall down	phrv	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
fall over	phrv	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
false	adj	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
familiar	adj	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
family	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
fan	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
faq	abbr	3	3	wordlist-1=3,wordlist-2=2,wordlist-3=4
far	adj	1	3	wordlist-1=3,wordlist-2=1,wordlist-3=1
far	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
fare	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
farewell	interj	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=4
farewell	n	4	3	wordlist-1=4,wordlist-2=3,wordlist-3=4
farm	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
farm	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
farmer	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
fashion	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
fast	adj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
fast	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
fasten	v	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
fat	adj	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
fat	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=1
fatal	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
father	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
father-in-law	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
fatigue	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
fault	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
fear	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
fear	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=1
feast	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
feather	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
feces	n	4	3	wordlist-1=4,wordlist-2=4,wordlist-3=4
fee	n	2	3	wordlist-1=3,wordlist-2=1,wordlist-3=2
feed	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=3
feed	v	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
feel	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
feeling	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
female	adj	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
female	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=1
fence	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
