word	pos	votes	roles
data	n	2	wordlist-1,wordlist-2
date	n	3	wordlist-1,wordlist-2,wordlist-3
date	v	2	wordlist-1,wordlist-2
daughter	n	3	wordlist-1,wordlist-2,wordlist-3
day	n	3	wordlist-1,wordlist-2,wordlist-3
de-	prefix	2	wordlist-1,wordlist-2
dead	adj	3	wordlist-1,wordlist-2,wordlist-3
deadline	n	1	wordlist-3
deaf	adj	3	wordlist-1,wordlist-2,wordlist-3
deal	n	1	wordlist-1
deal	v	1	wordlist-1
deal with	phrv	2	wordlist-2,wordlist-3
death	n	3	wordlist-1,wordlist-2,wordlist-3
debate	n	1	wordlist-3
debt	n	2	wordlist-1,wordlist-2
decade	n	2	wordlist-2,wordlist-3
decay	v	1	wordlist-3
decide	v	3	wordlist-1,wordlist-2,wordlist-3
decision	n	3	wordlist-1,wordlist-2,wordlist-3
decrease	n	2	wordlist-2,wordlist-3
decrease	v	3	wordlist-1,wordlist-2,wordlist-3
deep	adj	3	wordlist-1,wordlist-2,wordlist-3
deeply	adv	2	wordlist-2,wordlist-3
defend	v	3	wordlist-1,wordlist-2,wordlist-3
defense	n	2	wordlist-1,wordlist-2
define	v	2	wordlist-1,wordlist-2
definitely	adv	3	wordlist-1,wordlist-2,wordlist-3
definition	n	2	wordlist-1,wordlist-2
degree	n	3	wordlist-1,wordlist-2,wordlist-3
delay	n	1	wordlist-3
delete	v	1	wordlist-1
delicious	adj	1	wordlist-1
delight	n	1	wordlist-2
delight	v	1	wordlist-2
deliver	v	1	wordlist-1
demand	n	1	wordlist-2
demand	v	1	wordlist-2
democracy	n	1	wordlist-3
density	n	1	wordlist-3
deodorant	n	2	wordlist-1,wordlist-3
depart	v	1	wordlist-3
department	n	1	wordlist-3
depend	v	1	wordlist-1
depend on	phrv	2	wordlist-2,wordlist-3
dept	abbr	1	wordlist-3
dept.	abbr	2	wordlist-1,wordlist-2
depth	n	3	wordlist-1,wordlist-2,wordlist-3
descendant	n	1	wordlist-3
describe	v	2	wordlist-1,wordlist-2
description	n	1	wordlist-3
desert	n	1	wordlist-2
design	n	1	wordlist-3
design	v	1	wordlist-3
desire	n	3	wordlist-1,wordlist-2,wordlist-3
desire	v	3	wordlist-1,wordlist-2,wordlist-3
desk	n	2	wordlist-1,wordlist-2
despite	prep	3	wordlist-1,wordlist-2,wordlist-3
destroy	v	2	wordlist-2,wordlist-3
destruction	n	1	wordlist-2
detail	n	1	wordlist-2
develop	v	1	wordlist-1
development	n	1	wordlist-3
device	n	1	wordlist-1
diabetes	n	1	wordlist-3
diagnose	v	2	wordlist-1,wordlist-3
dialect	n	1	wordlist-1
dictionary	n	1	wordlist-1
die	v	3	wordlist-1,wordlist-2,wordlist-3
difference	n	2	wordlist-1,wordlist-3
different	adj	3	wordlist-1,wordlist-2,wordlist-3
differently	adv	2	wordlist-1,wordlist-2
difficult	adj	2	wordlist-1,wordlist-2
difficulty	n	1	wordlist-3
digest	v	1	wordlist-2
digital	adj	1	wordlist-1
dimple	n	1	wordlist-3
dinner	n	3	wordlist-1,wordlist-2,wordlist-3
direct	adj	3	wordlist-1,wordlist-2,wordlist-3
direction	n	2	wordlist-1,wordlist-2
directly	adv	2	wordlist-1,wordlist-2
dirt	n	3	wordlist-1,wordlist-2,wordlist-3
dirty	adj	3	wordlist-1,wordlist-2,wordlist-3
dis-	prefix	2	wordlist-1,wordlist-2
disability	n	1	wordlist-1
disabled	adj	2	wordlist-1,wordlist-3
disadvantage	n	1	wordlist-3
disagree	v	3	wordlist-1,wordlist-2,wordlist-3
disappear	v	1	wordlist-2
disappoint	v	1	wordlist-2
disappointed	adj	1	wordlist-1
disappointment	n	1	wordlist-1
disconnect	v	1	wordlist-1
discount	n	2	wordlist-1,wordlist-2
discover	v	2	wordlist-1,wordlist-2
discovery	n	1	wordlist-2
discuss	v	1	wordlist-2
discussion	n	3	wordlist-1,wordlist-2,wordlist-3
disease	n	3	wordlist-1,wordlist-2,wordlist-3
disgust	n	1	wordlist-3
dish	n	3	wordlist-1,wordlist-2,wordlist-3
dishonest	adj	1	wordlist-3
dislike	v	1	wordlist-3
display	n	1	wordlist-1
display	v	1	wordlist-1
dissolve	v	1	wordlist-1
distance	n	3	wordlist-1,wordlist-2,wordlist-3
distant	adj	1	wordlist-3
divide	v	1	wordlist-1
divorce	n	3	wordlist-1,wordlist-2,wordlist-3
divorce	v	3	wordlist-1,wordlist-2,wordlist-3
divorced	adj	1	wordlist-2
diy	abbr	1	wordlist-2
do	aux	3	wordlist-1,wordlist-2,wordlist-3
do	v	3	wordlist-1,wordlist-2,wordlist-3
doctor	n	3	wordlist-1,wordlist-2,wordlist-3
dog	n	1	wordlist-2
domestic	adj	2	wordlist-2,wordlist-3
door	n	2	wordlist-1,wordlist-2
dose	n	2	wordlist-1,wordlist-3
double	adj	2	wordlist-1,wordlist-2
double	v	1	wordlist-2
doubt	n	3	wordlist-1,wordlist-2,wordlist-3
doubt	v	3	wordlist-1,wordlist-2,wordlist-3
down	adv	3	wordlist-1,wordlist-2,wordlist-3
down	prep	3	wordlist-1,wordlist-2,wordlist-3
download	n	1	wordlist-1
download	v	1	wordlist-1
downstairs	adv	1	wordlist-2
dr	abbr	1	wordlist-3
draw	v	3	wordlist-1,wordlist-2,wordlist-3
drawer	n	2	wordlist-1,wordlist-2
dream	n	3	wordlist-1,wordlist-2,wordlist-3
dream	v	3	wordlist-1,wordlist-2,wordlist-3
dress	n	3	wordlist-1,wordlist-2,wordlist-3
dress	v	3	wordlist-1,wordlist-2,wordlist-3
dress up	phrv	1	wordlist-3
drill	n	1	wordlist-1
drill	v	1	wordlist-1
drink	n	2	wordlist-1,wordlist-3
drink	v	3	wordlist-1,wordlist-2,wordlist-3
drink up	phrv	1	wordlist-3
drive	n	3	wordlist-1,wordlist-2,wordlist-3
drive	v	3	wordlist-1,wordlist-2,wordlist-3
driver	n	3	wordlist-1,wordlist-2,wordlist-3
drop	n	1	wordlist-2
drop	v	3	wordlist-1,wordlist-2,wordlist-3
drug	n	3	wordlist-1,wordlist-2,wordlist-3
drum	n	1	wordlist-3
drunk	adj	1	wordlist-1
dry	adj	3	wordlist-1,wordlist-2,wordlist-3
dry	v	3	wordlist-1,wordlist-2,wordlist-3
dryness	n	1	wordlist-3
duck	n	2	wordlist-2,wordlist-3
dull	adj	2	wordlist-2,wordlist-3
dumb	adj	2	wordlist-2,wordlist-3
during	prep	3	wordlist-1,wordlist-2,wordlist-3
dust	n	3	wordlist-1,wordlist-2,wordlist-3
duty	n	3	wordlist-1,wordlist-2,wordlist-3
e.g.	abbr	3	wordlist-1,wordlist-2,wordlist-3
each	det	3	wordlist-1,wordlist-2,wordlist-3
each	pron	2	wordlist-1,wordlist-2
ear	n	3	wordlist-1,wordlist-2,wordlist-3
early	adj	3	wordlist-1,wordlist-2,wordlist-3
early	adv	3	wordlist-1,wordlist-2,wordlist-3
earn	v	2	wordlist-1,wordlist-2
earth	n	2	wordlist-1,wordlist-2
easily	adv	3	wordlist-1,wordlist-2,wordlist-3
easy	adj	2	wordlist-1,wordlist-2
eat	v	3	wordlist-1,wordlist-2,wordlist-3
eat up	phrv	1	wordlist-3
echo	n	2	wordlist-2,wordlist-3
echo	v	1	wordlist-2
economic	adj	1	wordlist-2
economy	n	1	wordlist-2
ed	abbr	1	wordlist-3
edge	n	3	wordlist-1,wordlist-2,wordlist-3
effect	n	3	wordlist-1,wordlist-2,wordlist-3
effective	adj	1	wordlist-2
effectively	adv	1	wordlist-2
effort	n	1	wordlist-3
egg	n	3	wordlist-1,wordlist-2,wordlist-3
eight	num	3	wordlist-1,wordlist-2,wordlist-3
either	conj	1	wordlist-3
either	det	2	wordlist-1,wordlist-2
either	pron	2	wordlist-1,wordlist-2
elastic	adj	1	wordlist-3
elasticity	n	1	wordlist-3
elderly	adj	1	wordlist-2
elect	v	3	wordlist-1,wordlist-2,wordlist-3
election	n	2	wordlist-1,wordlist-2
electric	adj	1	wordlist-1
electricity	n	1	wordlist-1
electronic	adj	1	wordlist-1
else	adv	1	wordlist-1
email	n	1	wordlist-1
email	v	1	wordlist-1
emergency	n	3	wordlist-1,wordlist-2,wordlist-3
emotion	n	3	wordlist-1,wordlist-2,wordlist-3
emotional	adj	1	wordlist-3
employ	v	2	wordlist-1,wordlist-2
employee	n	3	wordlist-1,wordlist-2,wordlist-3
employer	n	2	wordlist-1,wordlist-2
empty	adj	3	wordlist-1,wordlist-2,wordlist-3
empty	v	3	wordlist-1,wordlist-2,wordlist-3
en-	prefix	1	wordlist-1
encourage	v	1	wordlist-3
end	n	3	wordlist-1,wordlist-2,wordlist-3
end	v	3	wordlist-1,wordlist-2,wordlist-3
end up	phrv	2	wordlist-2,wordlist-3
enemy	n	3	wordlist-1,wordlist-2,wordlist-3
energy	n	2	wordlist-1,wordlist-3
engine	n	3	wordlist-1,wordlist-2,wordlist-3
enjoy	v	3	wordlist-1,wordlist-2,wordlist-3
enjoyment	n	1	wordlist-1
enough	adv	3	wordlist-1,wordlist-2,wordlist-3
enough	det	3	wordlist-1,wordlist-2,wordlist-3
enough	pron	1	wordlist-2
enter	v	3	wordlist-1,wordlist-2,wordlist-3
entertain	v	1	wordlist-3
entrance	n	1	wordlist-1
envy	n	3	wordlist-1,wordlist-2,wordlist-3
envy	v	3	wordlist-1,wordlist-2,wordlist-3
equal	adj	3	wordlist-1,wordlist-2,wordlist-3
equal	v	1	wordlist-2
equality	n	1	wordlist-1
equipment	n	1	wordlist-1
er	interj	1	wordlist-3
era	n	1	wordlist-3
error	n	2	wordlist-1,wordlist-2
escape	n	1	wordlist-2
escape	v	1	wordlist-2
especially	adv	3	wordlist-1,wordlist-2,wordlist-3
est	abbr	1	wordlist-3
etc.	abbr	3	wordlist-1,wordlist-2,wordlist-3
even	adv	3	wordlist-1,wordlist-2,wordlist-3
evening	n	3	wordlist-1,wordlist-2,wordlist-3
event	n	2	wordlist-1,wordlist-3
eventually	adv	1	wordlist-2
ever	adv	3	wordlist-1,wordlist-2,wordlist-3
every	det	3	wordlist-1,wordlist-2,wordlist-3
everybody	pron	1	wordlist-2
everyone	pron	1	wordlist-2
everything	pron	1	wordlist-2
everywhere	adv	2	wordlist-1,wordlist-2
evidence	n	2	wordlist-1,wordlist-3
ex-	prefix	2	wordlist-1,wordlist-2
exact	adj	1	wordlist-2
exactly	adv	3	wordlist-1,wordlist-2,wordlist-3
examine	v	2	wordlist-1,wordlist-2
example	n	3	wordlist-1,wordlist-2,wordlist-3
except	conj	1	wordlist-1
except	prep	3	wordlist-1,wordlist-2,wordlist-3
exchange	n	1	wordlist-1
exchange	v	1	wordlist-1
excite	v	2	wordlist-2,wordlist-3
excited	adj	3	wordlist-1,wordlist-2,wordlist-3
excitement	n	2	wordlist-1,wordlist-2
excuse me	phr	3	wordlist-1,wordlist-2,wordlist-3
exercise	n	2	wordlist-2,wordlist-3
exercise	v	2	wordlist-2,wordlist-3
exist	v	2	wordlist-1,wordlist-2
exit	n	1	wordlist-1
exit	v	1	wordlist-1
expand	v	1	wordlist-2
expect	v	3	wordlist-1,wordlist-2,wordlist-3
expensive	adj	2	wordlist-1,wordlist-2
experience	n	2	wordlist-1,wordlist-3
experience	v	1	wordlist-3
experiment	n	2	wordlist-1,wordlist-2
experiment	v	1	wordlist-2
expert	adj	1	wordlist-2
expert	n	1	wordlist-2
explain	v	3	wordlist-1,wordlist-2,wordlist-3
explanation	n	2	wordlist-2,wordlist-3
express	v	1	wordlist-2
extremely	adv	1	wordlist-2
eye	n	3	wordlist-1,wordlist-2,wordlist-3
fabric	n	1	wordlist-3
face	n	3	wordlist-1,wordlist-2,wordlist-3
fact	n	3	wordlist-1,wordlist-2,wordlist-3
factory	n	2	wordlist-1,wordlist-2
failure	n	2	wordlist-1,wordlist-3
fair	adj	3	wordlist-1,wordlist-2,wordlist-3
fairly	adv	1	wordlist-2
faith	n	1	wordlist-3
fall	n	2	wordlist-2,wordlist-3
fall	v	3	wordlist-1,wordlist-2,wordlist-3
fall apart	phrv	1	wordlist-2
fall down	phrv	2	wordlist-1,wordlist-2
fall over	phrv	2	wordlist-1,wordlist-3
false	adj	3	wordlist-1,wordlist-2,wordlist-3
familiar	adj	1	wordlist-2
family	n	3	wordlist-1,wordlist-2,wordlist-3
fan	n	1	wordlist-2
faq	abbr	1	wordlist-2
far	adj	2	wordlist-1,wordlist-2
far	adv	3	wordlist-1,wordlist-2,wordlist-3
farewell	interj	1	wordlist-3
farewell	n	1	wordlist-2
farm	n	2	wordlist-2,wordlist-3
farm	v	2	wordlist-2,wordlist-3
fashion	n	1	wordlist-3
fast	adj	3	wordlist-1,wordlist-2,wordlist-3
fast	adv	3	wordlist-1,wordlist-2,wordlist-3
fasten	v	1	wordlist-2
fat	adj	3	wordlist-1,wordlist-2,wordlist-3
fat	n	2	wordlist-2,wordlist-3
father	n	3	wordlist-1,wordlist-2,wordlist-3
father-in-law	n	1	wordlist-3
fault	n	2	wordlist-2,wordlist-3
fear	n	3	wordlist-1,wordlist-2,wordlist-3
fear	v	2	wordlist-1,wordlist-2
feast	n	1	wordlist-3
feather	n	2	wordlist-2,wordlist-3
feces	n	1	wordlist-3
fee	n	2	wordlist-1,wordlist-2
feed	n	1	wordlist-2
feed	v	3	wordlist-1,wordlist-2,wordlist-3
feel	v	3	wordlist-1,wordlist-2,wordlist-3
feeling	n	3	wordlist-1,wordlist-2,wordlist-3
female	adj	2	wordlist-1,wordlist-2
female	n	1	wordlist-2
fence	n	1	wordlist-2
fertilizer	n	1	wordlist-3
festival	n	1	wordlist-3
fever	n	3	wordlist-1,wordlist-2,wordlist-3
few	det	3	wordlist-1,wordlist-2,wordlist-3
few	pron	1	wordlist-2
field	n	3	wordlist-1,wordlist-2,wordlist-3
fight	n	3	wordlist-1,wordlist-2,wordlist-3
fight	v	3	wordlist-1,wordlist-2,wordlist-3
figure	n	1	wordlist-2
figure out	phrv	1	wordlist-3
file	n	1	wordlist-1
file	v	1	wordlist-1
fill	v	3	wordlist-1,wordlist-2,wordlist-3
fill in	phrv	2	wordlist-2,wordlist-3
fill up	phrv	2	wordlist-2,wordlist-3
film	n	3	wordlist-1,wordlist-2,wordlist-3
film	v	1	wordlist-2
fin	n	1	wordlist-3
final	adj	2	wordlist-2,wordlist-3
finally	adv	3	wordlist-1,wordlist-2,wordlist-3
finance	n	1	wordlist-2
financial	adj	1	wordlist-2
find	v	3	wordlist-1,wordlist-2,wordlist-3
find out	phrv	3	wordlist-1,wordlist-2,wordlist-3
fine	adj	1	wordlist-2
finger	n	2	wordlist-1,wordlist-2
fire	n	3	wordlist-1,wordlist-2,wordlist-3
fire	v	2	wordlist-1,wordlist-2
firm	n	2	wordlist-1,wordlist-2
first	adj	3	wordlist-1,wordlist-2,wordlist-3
first	adv	3	wordlist-1,wordlist-2,wordlist-3
first	num	2	wordlist-2,wordlist-3
first aid	n	1	wordlist-3
fish	n	3	wordlist-1,wordlist-2,wordlist-3
fish	v	1	wordlist-2
fit	adj	2	wordlist-1,wordlist-3
fit	v	3	wordlist-1,wordlist-2,wordlist-3
five	num	3	wordlist-1,wordlist-2,wordlist-3
fix	v	2	wordlist-1,wordlist-2
flame	n	1	wordlist-3
flash	n	1	wordlist-2
flash	v	2	wordlist-2,wordlist-3
flat	adj	3	wordlist-1,wordlist-2,wordlist-3
flavor	n	1	wordlist-3
flavour	n	2	wordlist-2,wordlist-3
flexibility	n	1	wordlist-3
flexible	adj	2	wordlist-1,wordlist-3
flight	n	1	wordlist-2
float	v	1	wordlist-1
flood	n	1	wordlist-2
flood	v	1	wordlist-2
floor	n	2	wordlist-1,wordlist-2
flow	v	2	wordlist-1,wordlist-2
flower	n	3	wordlist-1,wordlist-2,wordlist-3
flu	n	2	wordlist-1,wordlist-3
fly	n	1	wordlist-2
fly	v	3	wordlist-1,wordlist-2,wordlist-3
focus	n	2	wordlist-1,wordlist-2
focus	v	2	wordlist-1,wordlist-2
fog	n	1	wordlist-2
fold	n	1	wordlist-2
fold	v	3	wordlist-1,wordlist-2,wordlist-3
folder	n	1	wordlist-1
follow	v	3	wordlist-1,wordlist-2,wordlist-3
follower	n	1	wordlist-1
following	adj	1	wordlist-1
following	prep	1	wordlist-3
food	n	3	wordlist-1,wordlist-2,wordlist-3
fool	n	1	wordlist-2
foolish	adj	1	wordlist-2
foot	n	3	wordlist-1,wordlist-2,wordlist-3
for	conj	1	wordlist-2
for	prep	3	wordlist-1,wordlist-2,wordlist-3
for example	phr	1	wordlist-1
force	n	2	wordlist-2,wordlist-3
force	v	2	wordlist-2,wordlist-3
foreign	adj	3	wordlist-1,wordlist-2,wordlist-3
forest	n	2	wordlist-1,wordlist-2
forever	adv	1	wordlist-2
forget	v	3	wordlist-1,wordlist-2,wordlist-3
forgive	v	2	wordlist-1,wordlist-3
forgiveness	n	1	wordlist-1
fork	n	3	wordlist-1,wordlist-2,wordlist-3
form	n	3	wordlist-1,wordlist-2,wordlist-3
form	v	3	wordlist-1,wordlist-2,wordlist-3
formal	adj	1	wordlist-2
former	adj	1	wordlist-1
fortunately	adv	1	wordlist-3
forward	adv	3	wordlist-1,wordlist-2,wordlist-3
fountain	n	1	wordlist-3
four	num	3	wordlist-1,wordlist-2,wordlist-3
fracture	n	1	wordlist-3
freckle	n	1	wordlist-3
free	adj	3	wordlist-1,wordlist-2,wordlist-3
freedom	n	2	wordlist-1,wordlist-2
freeze	v	2	wordlist-1,wordlist-2
frequent	adj	1	wordlist-3
fresh	adj	2	wordlist-1,wordlist-3
fridge	n	1	wordlist-1
friend	n	3	wordlist-1,wordlist-2,wordlist-3
friendly	adj	3	wordlist-1,wordlist-2,wordlist-3
friendship	n	2	wordlist-1,wordlist-2
from	prep	3	wordlist-1,wordlist-2,wordlist-3
front	n	3	wordlist-1,wordlist-2,wordlist-3
frost	n	1	wordlist-2
frown	n	1	wordlist-3
frozen	adj	1	wordlist-1
fruit	n	3	wordlist-1,wordlist-2,wordlist-3
fry	v	2	wordlist-1,wordlist-3
ft	abbr	2	wordlist-1,wordlist-3
fuel	n	1	wordlist-1
full	adj	3	wordlist-1,wordlist-2,wordlist-3
full-time	adj	1	wordlist-1
fully	adv	2	wordlist-1,wordlist-3
fun	adj	2	wordlist-1,wordlist-3
fun	n	3	wordlist-1,wordlist-2,wordlist-3
funeral	n	3	wordlist-1,wordlist-2,wordlist-3
funny	adj	3	wordlist-1,wordlist-2,wordlist-3
fur	n	2	wordlist-2,wordlist-3
furniture	n	2	wordlist-1,wordlist-2
future	adj	2	wordlist-2,wordlist-3
future	n	3	wordlist-1,wordlist-2,wordlist-3
g	abbr	1	wordlist-1
gain	n	1	wordlist-2
gain	v	1	wordlist-2
game	n	3	wordlist-1,wordlist-2,wordlist-3
garage	n	1	wordlist-1
garden	n	3	wordlist-1,wordlist-2,wordlist-3
gas	n	3	wordlist-1,wordlist-2,wordlist-3
gate	n	3	wordlist-1,wordlist-2,wordlist-3
gather	v	2	wordlist-2,wordlist-3
gear	n	1	wordlist-1
gear	v	1	wordlist-1
gender	n	1	wordlist-2
general	adj	2	wordlist-1,wordlist-2
generally	adv	3	wordlist-1,wordlist-2,wordlist-3
generation	n	2	wordlist-2,wordlist-3
generous	adj	3	wordlist-1,wordlist-2,wordlist-3
genius	n	1	wordlist-2
gentle	adj	2	wordlist-1,wordlist-2
geo-	comb	1	wordlist-1
germ	n	1	wordlist-3
get	v	3	wordlist-1,wordlist-2,wordlist-3
get away	phrv	1	wordlist-1
get back	phrv	2	wordlist-1,wordlist-2
get in	phrv	1	wordlist-1
get off	phrv	1	wordlist-3
get on	phrv	1	wordlist-3
get out	phrv	1	wordlist-1
get over	phrv	1	wordlist-1
get up	phrv	3	wordlist-1,wordlist-2,wordlist-3
girl	n	3	wordlist-1,wordlist-2,wordlist-3
give	v	3	wordlist-1,wordlist-2,wordlist-3
give back	phrv	2	wordlist-1,wordlist-2
give up	phrv	3	wordlist-1,wordlist-2,wordlist-3
gland	n	1	wordlist-3
glass	n	3	wordlist-1,wordlist-2,wordlist-3
glasses	n	3	wordlist-1,wordlist-2,wordlist-3
glove	n	3	wordlist-1,wordlist-2,wordlist-3
glow	v	2	wordlist-2,wordlist-3
glue	n	1	wordlist-2
glue	v	1	wordlist-2
go	v	3	wordlist-1,wordlist-2,wordlist-3
go away	phrv	1	wordlist-1
go back	phrv	3	wordlist-1,wordlist-2,wordlist-3
go in	phrv	1	wordlist-1
go on	phrv	3	wordlist-1,wordlist-2,wordlist-3
go out	phrv	3	wordlist-1,wordlist-2,wordlist-3
go over	phrv	1	wordlist-1
go through	phrv	1	wordlist-1
go to bed	phr	1	wordlist-3
goal	n	2	wordlist-1,wordlist-3
goat	n	2	wordlist-2,wordlist-3
god	n	3	wordlist-1,wordlist-2,wordlist-3
gold	adj	1	wordlist-2
gold	n	1	wordlist-2
good	adj	2	wordlist-1,wordlist-2
good morning	phr	2	wordlist-2,wordlist-3
good night	phr	2	wordlist-2,wordlist-3
goodbye	interj	3	wordlist-1,wordlist-2,wordlist-3
goodbye	n	1	wordlist-2
goods	n	2	wordlist-1,wordlist-2
gosh	interj	1	wordlist-3
govern	v	1	wordlist-2
government	n	3	wordlist-1,wordlist-2,wordlist-3
governor	n	1	wordlist-3
grab	n	1	wordlist-2
grab	v	1	wordlist-2
grace	n	1	wordlist-3
graft	v	1	wordlist-3
grain	n	2	wordlist-2,wordlist-3
grammar	n	1	wordlist-1
grandchild	n	3	wordlist-1,wordlist-2,wordlist-3
granddaughter	n	2	wordlist-2,wordlist-3
grandfather	n	3	wordlist-1,wordlist-2,wordlist-3
grandmother	n	3	wordlist-1,wordlist-2,wordlist-3
grandparent	n	3	wordlist-1,wordlist-2,wordlist-3
grandson	n	2	wordlist-2,wordlist-3
grass	n	3	wordlist-1,wordlist-2,wordlist-3
grateful	adj	2	wordlist-1,wordlist-3
grave	n	2	wordlist-1,wordlist-2
graze	v	1	wordlist-2
great	adj	2	wordlist-1,wordlist-2
greatly	adv	1	wordlist-2
green	adj	2	wordlist-2,wordlist-3
greeting	n	1	wordlist-2
greetings	interj	1	wordlist-3
grey	adj	1	wordlist-2
grief	n	1	wordlist-2
grill	v	1	wordlist-3
ground	n	2	wordlist-1,wordlist-2
group	n	3	wordlist-1,wordlist-2,wordlist-3
grow	v	3	wordlist-1,wordlist-2,wordlist-3
grow up	phrv	3	wordlist-1,wordlist-2,wordlist-3
grow up	v	1	wordlist-2
growth	n	2	wordlist-2,wordlist-3
guard	n	2	wordlist-2,wordlist-3
guard	v	2	wordlist-2,wordlist-3
guess	n	3	wordlist-1,wordlist-2,wordlist-3
guess	v	3	wordlist-1,wordlist-2,wordlist-3
guest	n	2	wordlist-1,wordlist-2
guide	n	1	wordlist-2
guide	v	1	wordlist-2
guilt	n	3	wordlist-1,wordlist-2,wordlist-3
guilty	adj	3	wordlist-1,wordlist-2,wordlist-3
guitar	n	1	wordlist-3
gun	n	2	wordlist-1,wordlist-2
habit	n	3	wordlist-1,wordlist-2,wordlist-3
hair	n	2	wordlist-1,wordlist-2
half	det	2	wordlist-2,wordlist-3
half	n	3	wordlist-1,wordlist-2,wordlist-3
half	pron	1	wordlist-2
half-brother	n	1	wordlist-3
half-sister	n	1	wordlist-3
hall	n	2	wordlist-1,wordlist-3
hand	n	3	wordlist-1,wordlist-2,wordlist-3
hand over	phrv	1	wordlist-3
handle	n	2	wordlist-1,wordlist-2
handle	v	2	wordlist-1,wordlist-2
handsome	adj	2	wordlist-1,wordlist-3
hang	v	2	wordlist-2,wordlist-3
hang up	phrv	1	wordlist-3
happen	v	2	wordlist-1,wordlist-2
happen to	phrv	1	wordlist-3
happy	adj	3	wordlist-1,wordlist-2,wordlist-3
hard	adj	3	wordlist-1,wordlist-2,wordlist-3
hard	adv	3	wordlist-1,wordlist-2,wordlist-3
harden	v	1	wordlist-3
hardly	adv	2	wordlist-2,wordlist-3
hardness	n	1	wordlist-3
hardware	n	1	wordlist-1
harm	n	2	wordlist-2,wordlist-3
harm	v	2	wordlist-2,wordlist-3
harvest	n	1	wordlist-2
harvest	v	2	wordlist-2,wordlist-3
hat	n	3	wordlist-1,wordlist-2,wordlist-3
hate	n	2	wordlist-2,wordlist-3
hate	v	3	wordlist-1,wordlist-2,wordlist-3
have	aux	3	wordlist-1,wordlist-2,wordlist-3
have	v	3	wordlist-1,wordlist-2,wordlist-3
hay	n	1	wordlist-2
he	pron	3	wordlist-1,wordlist-2,wordlist-3
head	n	3	wordlist-1,wordlist-2,wordlist-3
heal	v	3	wordlist-1,wordlist-2,wordlist-3
health	n	3	wordlist-1,wordlist-2,wordlist-3
healthy	adj	3	wordlist-1,wordlist-2,wordlist-3
hear	v	3	wordlist-1,wordlist-2,wordlist-3
hearing	n	1	wordlist-3
heart	n	3	wordlist-1,wordlist-2,wordlist-3
heart attack	n	1	wordlist-3
heat	n	3	wordlist-1,wordlist-2,wordlist-3
heat	v	3	wordlist-1,wordlist-2,wordlist-3
heavy	adj	3	wordlist-1,wordlist-2,wordlist-3
height	n	3	wordlist-1,wordlist-2,wordlist-3
hello	interj	3	wordlist-1,wordlist-2,wordlist-3
hello	n	1	wordlist-2
help	n	2	wordlist-1,wordlist-3
help	v	3	wordlist-1,wordlist-2,wordlist-3
helpful	adj	1	wordlist-1
her	det	2	wordlist-1,wordlist-3
her	pron	1	wordlist-1
herb	n	1	wordlist-3
here	adv	3	wordlist-1,wordlist-2,wordlist-3
hers	pron	1	wordlist-1
herself	pron	1	wordlist-3
hey	interj	3	wordlist-1,wordlist-2,wordlist-3
hi	interj	3	wordlist-1,wordlist-2,wordlist-3
hidden	adj	1	wordlist-2
hide	v	1	wordlist-2
high	adj	3	wordlist-1,wordlist-2,wordlist-3
high	adv	1	wordlist-2
highly	adv	1	wordlist-3
highway	n	1	wordlist-3
hill	n	2	wordlist-1,wordlist-2
him	pron	2	wordlist-1,wordlist-3
himself	pron	1	wordlist-3
hire	v	2	wordlist-1,wordlist-2
his	det	2	wordlist-1,wordlist-3
his	pron	1	wordlist-1
historic	adj	1	wordlist-3
hit	n	2	wordlist-2,wordlist-3
hit	v	3	wordlist-1,wordlist-2,wordlist-3
hive	n	1	wordlist-3
hmm	interj	2	wordlist-1,wordlist-3
hobby	n	3	wordlist-1,wordlist-2,wordlist-3
hold	v	3	wordlist-1,wordlist-2,wordlist-3
hold on	phrv	3	wordlist-1,wordlist-2,wordlist-3
hold up	phrv	1	wordlist-2
hole	n	1	wordlist-1
holiday	n	1	wordlist-2
holy	adj	2	wordlist-1,wordlist-2
home	n	3	wordlist-1,wordlist-2,wordlist-3
honest	adj	3	wordlist-1,wordlist-2,wordlist-3
honestly	adv	1	wordlist-3
honesty	n	2	wordlist-1,wordlist-2
honey	n	1	wordlist-3
hoof	n	1	wordlist-3
hooray	interj	1	wordlist-1
hope	n	3	wordlist-1,wordlist-2,wordlist-3
hope	v	3	wordlist-1,wordlist-2,wordlist-3
horn	n	2	wordlist-2,wordlist-3
horse	n	2	wordlist-2,wordlist-3
hospital	n	3	wordlist-1,wordlist-2,wordlist-3
host	n	2	wordlist-1,wordlist-2
hot	adj	3	wordlist-1,wordlist-2,wordlist-3
hotel	n	1	wordlist-1
hour	n	3	wordlist-1,wordlist-2,wordlist-3
house	n	3	wordlist-1,wordlist-2,wordlist-3
how	adv	3	wordlist-1,wordlist-2,wordlist-3
howdy	interj	1	wordlist-3
however	adv	2	wordlist-1,wordlist-2
hr.	abbr	2	wordlist-1,wordlist-2
hue	n	1	wordlist-3
hug	v	1	wordlist-1
human	adj	2	wordlist-1,wordlist-2
human	n	1	wordlist-2
humor	n	2	wordlist-2,wordlist-3
humour	n	1	wordlist-3
hundred	num	3	wordlist-1,wordlist-2,wordlist-3
hungry	adj	2	wordlist-1,wordlist-3
