headword	pos	band	source	status	added	note
makeup	n	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech; referenced by make-v
male	adj	1	defining	pending	2026-09-16	votes 2
mammal	n	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
man	n	1	defining	pending	2026-09-16	votes 3
manage	v	1	defining	pending	2026-09-16	votes 2; referenced by run-v
manager	n	1	defining	pending	2026-09-16	votes 2; referenced by head-n
manner	n	1	defining	pending	2026-09-16	votes 2; referenced by way-n
many	det	1	defining	done	2026-09-16	votes 3
map	n	1	defining	pending	2026-09-16	votes 3
mark	n	1	defining	pending	2026-09-16	votes 2
market	n	1	defining	pending	2026-09-16	votes 3
marriage	n	1	defining	pending	2026-09-16	votes 3
married	adj	1	defining	pending	2026-09-16	votes 2
marry	v	1	defining	pending	2026-09-16	votes 3
mass	n	1	defining	pending	2026-09-16	votes 1
match	n	1	defining	pending	2026-09-16	votes 2
material	n	1	defining	pending	2026-09-16	votes 3
matter	n	1	defining	pending	2026-09-16	votes 3; referenced by thing-n
may	modal	1	defining	pending	2026-09-16	votes 3; referenced by can-modal
maybe	adv	1	defining	pending	2026-09-16	votes 3
mayor	n	1	defining	pending	2026-09-16	votes 1
me	pron	1	defining	pending	2026-09-16	votes 2
meal	n	1	defining	pending	2026-09-16	votes 3
mean	adj	1	defining	pending	2026-09-16	votes 2
mean	v	1	defining	pending	2026-09-16	votes 3
meaning	n	1	defining	pending	2026-09-16	votes 3
measure	n	1	defining	pending	2026-09-16	votes 3
measure	v	1	defining	pending	2026-09-16	votes 3
measurement	n	1	defining	pending	2026-09-16	votes 1
meat	n	1	defining	pending	2026-09-16	votes 3
mechanical	adj	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
medical	adj	1	defining	pending	2026-09-16	votes 1
medicine	n	1	defining	pending	2026-09-16	votes 3
meet	v	1	defining	pending	2026-09-16	votes 2; referenced by see-v
melt	v	1	defining	pending	2026-09-16	votes 2
member	n	1	defining	pending	2026-09-16	votes 2
memory	n	1	defining	pending	2026-09-16	votes 3
mental	adj	1	defining	pending	2026-09-16	votes 3
mention	v	1	defining	pending	2026-09-16	votes 2; referenced by speak-v
menu	n	1	defining	pending	2026-09-16	votes 1
merely	adv	1	defining	pending	2026-09-16	votes 1
message	n	1	defining	pending	2026-09-16	votes 2
messy	adj	1	defining	pending	2026-09-16	votes 1
metal	n	1	defining	pending	2026-09-16	votes 3
method	n	1	defining	pending	2026-09-16	votes 3; referenced by way-n
micro-	comb	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
mid-	comb	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
middle	n	1	defining	pending	2026-09-16	votes 3
midnight	n	1	defining	pending	2026-09-16	votes 2
might	modal	1	defining	pending	2026-09-16	votes 2
military	adj	1	defining	pending	2026-09-16	votes 2
milk	n	1	defining	pending	2026-09-16	votes 3
million	num	1	defining	pending	2026-09-16	votes 3
min.	abbr	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
mind	n	1	defining	pending	2026-09-16	votes 3; referenced by head-n
mine	pron	1	defining	pending	2026-09-16	votes 1; referenced by my-det
minister	n	1	defining	pending	2026-09-16	votes 3
minus	prep	1	defining	pending	2026-09-16	votes 1
minute	n	1	defining	pending	2026-09-16	votes 3
mirror	n	1	defining	pending	2026-09-16	votes 2
mis-	prefix	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
mistake	n	1	defining	pending	2026-09-16	votes 2
mix	v	1	defining	pending	2026-09-16	votes 3
mm	abbr	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
modern	adj	1	defining	pending	2026-09-16	votes 2; referenced by old-adj
modest	adj	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
moment	n	1	defining	pending	2026-09-16	votes 2; referenced by time-n
money	n	1	defining	done	2026-09-16	votes 3
month	n	1	defining	pending	2026-09-16	votes 3
monthly	adj	1	defining	pending	2026-09-16	votes 2
mood	n	1	defining	pending	2026-09-16	votes 3
moon	n	1	defining	pending	2026-09-16	votes 2
more	adv	1	defining	pending	2026-09-16	votes 2; referenced by more-det
more	det	1	defining	done	2026-09-16	votes 3
morning	n	1	defining	pending	2026-09-16	votes 3
most	adv	1	defining	pending	2026-09-16	votes 2; referenced by most-det
most	det	1	defining	done	2026-09-16	votes 3
mostly	adv	1	defining	pending	2026-09-16	votes 2
mother	n	1	defining	pending	2026-09-16	votes 3
motor	n	1	defining	pending	2026-09-16	votes 2
mountain	n	1	defining	pending	2026-09-16	votes 2
mouse	n	1	defining	pending	2026-09-16	votes 1
mouth	n	1	defining	pending	2026-09-16	votes 3
move	n	1	defining	pending	2026-09-16	votes 2
move	v	1	defining	pending	2026-09-16	votes 3
move in	phrv	1	defining	pending	2026-09-16	votes 1
move on	phrv	1	defining	pending	2026-09-16	votes 2
move out	phrv	1	defining	pending	2026-09-16	votes 1
movement	n	1	defining	pending	2026-09-16	votes 1
movie	n	1	defining	pending	2026-09-16	votes 1
mph	abbr	4	defining	pending	2026-09-16	votes 2; panel median 4, secondary part of speech
much	adv	1	defining	pending	2026-09-16	votes 2; referenced by much-det
much	det	1	defining	done	2026-09-16	votes 3
mud	n	1	defining	pending	2026-09-16	votes 3
multi-	comb	4	defining	pending	2026-09-16	votes 1; panel median 4, secondary part of speech
multiply	v	1	defining	pending	2026-09-16	votes 1
murder	n	1	defining	pending	2026-09-16	votes 1
muscle	n	1	defining	pending	2026-09-16	votes 3
museum	n	1	defining	pending	2026-09-16	votes 1
music	n	1	defining	pending	2026-09-16	votes 3
musical	adj	1	defining	pending	2026-09-16	votes 2
musician	n	1	defining	pending	2026-09-16	votes 2
must	modal	1	defining	done	2026-09-16	votes 3
my	det	1	defining	done	2026-09-16	votes 2
myself	pron	1	defining	pending	2026-09-16	votes 1
naked	adj	1	defining	pending	2026-09-16	votes 2
name	n	1	defining	pending	2026-09-16	votes 2
name	v	1	defining	pending	2026-09-16	votes 3
narrow	adj	1	defining	pending	2026-09-16	votes 3
nation	n	1	defining	pending	2026-09-16	votes 3; referenced by people-n
national	adj	1	defining	pending	2026-09-16	votes 1
natural	adj	1	defining	pending	2026-09-16	votes 2
naturally	adv	1	defining	pending	2026-09-16	votes 2
nature	n	1	defining	pending	2026-09-16	votes 3
near	adj	1	defining	pending	2026-09-16	votes 2
near	adv	1	defining	pending	2026-09-16	votes 3
near	prep	1	defining	pending	2026-09-16	votes 3
nearby	adj	1	defining	pending	2026-09-16	votes 1
nearly	adv	1	defining	pending	2026-09-16	votes 2
neat	adj	1	defining	pending	2026-09-16	votes 2
necessarily	adv	1	defining	pending	2026-09-16	votes 1
necessary	adj	1	defining	pending	2026-09-16	votes 2
neck	n	1	defining	pending	2026-09-16	votes 3; referenced by head-n
need	n	1	defining	pending	2026-09-16	votes 2
need	v	1	defining	pending	2026-09-16	votes 3; referenced by take-v
negative	adj	1	defining	pending	2026-09-16	votes 1
neighbor	n	1	defining	pending	2026-09-16	votes 2
neither	det	1	defining	done	2026-09-16	votes 2; referenced by either-det
neither	pron	1	defining	pending	2026-09-16	votes 2; referenced by neither-det; referenced by either-pron
nephew	n	1	defining	pending	2026-09-16	votes 2
nerve	n	1	defining	pending	2026-09-16	votes 2
nervous	adj	1	defining	pending	2026-09-16	votes 3
nest	n	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
network	n	1	defining	pending	2026-09-16	votes 1
never	adv	1	defining	pending	2026-09-16	votes 3
new	adj	1	defining	pending	2026-09-16	votes 3; referenced by old-adj
news	n	1	defining	done	2026-09-16	votes 2
next	adj	1	defining	pending	2026-09-16	votes 3
next	adv	1	defining	pending	2026-09-16	votes 2
nice	adj	1	defining	pending	2026-09-16	votes 2; referenced by good-adj
niece	n	1	defining	pending	2026-09-16	votes 2
night	n	1	defining	pending	2026-09-16	votes 3
nine	num	1	defining	pending	2026-09-16	votes 3
no	adv	1	defining	pending	2026-09-16	votes 2
no	det	1	defining	done	2026-09-16	votes 3
no	interj	1	defining	pending	2026-09-16	votes 2; referenced by no-det
no.	abbr	1	defining	pending	2026-09-16	votes 2
nobody	pron	1	defining	pending	2026-09-16	votes 1
noise	n	1	defining	pending	2026-09-16	votes 2
noisy	adj	1	defining	pending	2026-09-16	votes 2
non-	prefix	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
none	pron	1	defining	pending	2026-09-16	votes 2; referenced by no-det
noon	n	1	defining	pending	2026-09-16	votes 2
nor	conj	1	defining	pending	2026-09-16	votes 3
normal	adj	1	defining	pending	2026-09-16	votes 2
normally	adv	1	defining	pending	2026-09-16	votes 3
nose	n	1	defining	pending	2026-09-16	votes 3
not	adv	1	defining	pending	2026-09-16	votes 3
note	n	1	defining	pending	2026-09-16	votes 3
nothing	pron	1	defining	pending	2026-09-16	votes 1; referenced by thing-n
notice	v	1	defining	pending	2026-09-16	votes 3; referenced by see-v
noun	n	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
now	adv	1	defining	pending	2026-09-16	votes 3
nowhere	adv	1	defining	pending	2026-09-16	votes 2
number	n	1	defining	pending	2026-09-16	votes 3
nurse	n	1	defining	pending	2026-09-16	votes 3
nut	n	1	defining	pending	2026-09-16	votes 1
obey	v	1	defining	pending	2026-09-16	votes 1
object	n	1	defining	pending	2026-09-16	votes 2; referenced by thing-n
observe	v	1	defining	pending	2026-09-16	votes 2
obvious	adj	1	defining	pending	2026-09-16	votes 1
obviously	adv	1	defining	pending	2026-09-16	votes 2
occasional	adj	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
occur	v	1	defining	pending	2026-09-16	votes 1
ocean	n	1	defining	pending	2026-09-16	votes 2
odd	adj	1	defining	pending	2026-09-16	votes 1
of	prep	1	defining	done	2026-09-16	votes 3
of course	phr	1	defining	pending	2026-09-16	votes 2
off	adv	1	defining	pending	2026-09-16	votes 3
off	prep	1	defining	pending	2026-09-16	votes 3
offer	n	1	defining	pending	2026-09-16	votes 1
office	n	1	defining	pending	2026-09-16	votes 3
officer	n	1	defining	pending	2026-09-16	votes 1; referenced by police-n
official	adj	1	defining	pending	2026-09-16	votes 2
official	n	1	defining	pending	2026-09-16	votes 3
often	adv	1	defining	pending	2026-09-16	votes 3
oh	interj	1	defining	pending	2026-09-16	votes 3
oil	n	1	defining	pending	2026-09-16	votes 3
ok	abbr	1	defining	pending	2026-09-16	votes 1
okay	adv	1	defining	pending	2026-09-16	votes 2
okay	interj	1	defining	pending	2026-09-16	votes 3
old	adj	1	defining	done	2026-09-16	votes 3
on	adv	1	defining	pending	2026-09-16	votes 3
on	prep	1	defining	pending	2026-09-16	votes 3
once	adv	1	defining	pending	2026-09-16	votes 3; referenced by one-num
once	conj	1	defining	pending	2026-09-16	votes 3
one	num	1	defining	done	2026-09-16	votes 3
one	pron	1	defining	duplicate	2026-09-16	votes 2; covered by the one-num entry (auxiliary or pronoun uses are senses there)
online	adj	1	defining	pending	2026-09-16	votes 1
only	adv	1	defining	pending	2026-09-16	votes 3; referenced by alone-adj
onto	prep	1	defining	pending	2026-09-16	votes 3
oops	interj	1	defining	pending	2026-09-16	votes 2
open	adj	1	defining	pending	2026-09-16	votes 3
open	v	1	defining	pending	2026-09-16	votes 3
operate	v	1	defining	pending	2026-09-16	votes 3; referenced by run-v
operation	n	1	defining	pending	2026-09-16	votes 2
opinion	n	1	defining	pending	2026-09-16	votes 3
opportunity	n	1	defining	pending	2026-09-16	votes 1
opposite	adj	1	defining	pending	2026-09-16	votes 2
or	conj	1	defining	pending	2026-09-16	votes 3; referenced by and-conj
orange	adj	1	defining	pending	2026-09-16	votes 1
order	n	1	defining	pending	2026-09-16	votes 3
order	v	1	defining	pending	2026-09-16	votes 2; referenced by tell-v
organ	n	1	defining	pending	2026-09-16	votes 1
orphan	n	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
other	adj	1	defining	pending	2026-09-16	votes 2; referenced by another-det
other	det	1	defining	done	2026-09-16	votes 3
other	pron	1	defining	pending	2026-09-16	votes 2; referenced by other-det
otherwise	adv	1	defining	pending	2026-09-16	votes 2
ouch	interj	1	defining	pending	2026-09-16	votes 2
ought	modal	1	defining	pending	2026-09-16	votes 1
our	det	1	defining	done	2026-09-16	votes 2
ours	pron	1	defining	pending	2026-09-16	votes 1; referenced by our-det
ourselves	pron	1	defining	pending	2026-09-16	votes 1
out	adv	1	defining	pending	2026-09-16	votes 3
out	prep	1	defining	pending	2026-09-16	votes 3
out-	prefix	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
outdoor	adj	1	defining	pending	2026-09-16	votes 1
outside	adv	1	defining	pending	2026-09-16	votes 3
outside	n	1	defining	pending	2026-09-16	votes 2
outside	prep	1	defining	pending	2026-09-16	votes 3
oven	n	1	defining	pending	2026-09-16	votes 3
over	adv	1	defining	pending	2026-09-16	votes 3
over	prep	1	defining	pending	2026-09-16	votes 3
over-	prefix	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
owe	v	1	defining	pending	2026-09-16	votes 2
own	v	1	defining	pending	2026-09-16	votes 2; referenced by have-v
owner	n	1	defining	pending	2026-09-16	votes 1
oz	abbr	1	defining	pending	2026-09-16	votes 2
p.m.	abbr	1	defining	pending	2026-09-16	votes 2
pack	n	1	defining	pending	2026-09-16	votes 2
pack	v	1	defining	pending	2026-09-16	votes 3
page	n	1	defining	pending	2026-09-16	votes 2
paid	adj	1	defining	pending	2026-09-16	votes 1
pain	n	1	defining	pending	2026-09-16	votes 3
painful	adj	1	defining	pending	2026-09-16	votes 1
paint	n	1	defining	pending	2026-09-16	votes 2
paint	v	1	defining	pending	2026-09-16	votes 3
pair	n	1	defining	pending	2026-09-16	votes 1
pale	adj	1	defining	pending	2026-09-16	votes 2
pan	n	1	defining	pending	2026-09-16	votes 3
pants	n	1	defining	pending	2026-09-16	votes 3
paper	n	1	defining	pending	2026-09-16	votes 3
paragraph	n	1	defining	pending	2026-09-16	votes 1
pardon	interj	1	defining	pending	2026-09-16	votes 2
parent	n	1	defining	pending	2026-09-16	votes 3; referenced by child-n
park	n	1	defining	pending	2026-09-16	votes 2
park	v	1	defining	pending	2026-09-16	votes 3
parking	n	1	defining	pending	2026-09-16	votes 1
parliament	n	1	defining	pending	2026-09-16	votes 2; referenced by house-n
part	n	1	defining	pending	2026-09-16	votes 3
part-time	adj	1	defining	pending	2026-09-16	votes 1
particular	adj	1	defining	pending	2026-09-16	votes 2
particularly	adv	1	defining	pending	2026-09-16	votes 2
partly	adv	1	defining	pending	2026-09-16	votes 2
partner	n	1	defining	pending	2026-09-16	votes 3
party	n	1	defining	pending	2026-09-16	votes 3
pass	v	1	defining	pending	2026-09-16	votes 3; referenced by go-v
pass away	phrv	1	defining	pending	2026-09-16	votes 1
pass on	phrv	1	defining	pending	2026-09-16	votes 1
passenger	n	1	defining	pending	2026-09-16	votes 3
passion	n	1	defining	pending	2026-09-16	votes 1
password	n	1	defining	pending	2026-09-16	votes 1
past	adj	1	defining	pending	2026-09-16	votes 2
past	n	1	defining	pending	2026-09-16	votes 3
past	prep	1	defining	pending	2026-09-16	votes 2
pasture	n	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
path	n	1	defining	pending	2026-09-16	votes 3; referenced by way-n
patience	n	1	defining	pending	2026-09-16	votes 3
patient	adj	1	defining	pending	2026-09-16	votes 3
patient	n	1	defining	pending	2026-09-16	votes 3
pattern	n	1	defining	pending	2026-09-16	votes 1
pause	n	1	defining	pending	2026-09-16	votes 1
pay	n	1	defining	pending	2026-09-16	votes 2
pay	v	1	defining	pending	2026-09-16	votes 2
payment	n	1	defining	pending	2026-09-16	votes 1
peace	n	1	defining	pending	2026-09-16	votes 3
peel	v	1	defining	pending	2026-09-16	votes 2
people	n	1	defining	done	2026-09-16	votes 3
per	prep	1	defining	pending	2026-09-16	votes 2
perfect	adj	1	defining	pending	2026-09-16	votes 1
perfectly	adv	1	defining	pending	2026-09-16	votes 1
perform	v	1	defining	pending	2026-09-16	votes 3; referenced by do-v
performance	n	1	defining	pending	2026-09-16	votes 2
perfume	n	1	defining	pending	2026-09-16	votes 2
perhaps	adv	1	defining	pending	2026-09-16	votes 3
period	n	1	defining	pending	2026-09-16	votes 2; referenced by time-n
permanent	adj	1	defining	pending	2026-09-16	votes 1
person	n	1	defining	done	2026-09-16	votes 3
personal	adj	1	defining	pending	2026-09-16	votes 2; referenced by person-n
personality	n	1	defining	pending	2026-09-16	votes 1; referenced by person-n
personally	adv	1	defining	pending	2026-09-16	votes 1; referenced by person-n
pest	n	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
pet	n	1	defining	pending	2026-09-16	votes 1
pharmacy	n	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
photograph	n	1	defining	pending	2026-09-16	votes 1
physical	adj	1	defining	pending	2026-09-16	votes 2
pick	v	1	defining	pending	2026-09-16	votes 3; referenced by pick-up-phrv
pick up	phrv	1	defining	done	2026-09-16	votes 3
picture	n	1	defining	pending	2026-09-16	votes 3
piece	n	1	defining	pending	2026-09-16	votes 3
pig	n	1	defining	pending	2026-09-16	votes 2
pill	n	1	defining	pending	2026-09-16	votes 3
pilot	n	1	defining	pending	2026-09-16	votes 1
pink	adj	1	defining	pending	2026-09-16	votes 1
pipe	n	1	defining	pending	2026-09-16	votes 1
pity	n	1	defining	pending	2026-09-16	votes 1
place	n	1	defining	pending	2026-09-16	votes 2
place	v	1	defining	pending	2026-09-16	votes 2
plain	adj	1	defining	pending	2026-09-16	votes 2
plan	n	1	defining	pending	2026-09-16	votes 3
plan	v	1	defining	pending	2026-09-16	votes 3
plane	n	1	defining	pending	2026-09-16	votes 3
plant	n	1	defining	pending	2026-09-16	votes 3
plastic	n	1	defining	pending	2026-09-16	votes 3
plate	n	1	defining	pending	2026-09-16	votes 3
platform	n	1	defining	pending	2026-09-16	votes 1
play	n	1	defining	pending	2026-09-16	votes 3
play	v	1	defining	pending	2026-09-16	votes 3
player	n	1	defining	pending	2026-09-16	votes 2
pleasant	adj	1	defining	pending	2026-09-16	votes 1; referenced by good-adj
please	adv	1	defining	pending	2026-09-16	votes 3
please	interj	1	defining	done	2026-09-16	votes 2
pleased	adj	1	defining	pending	2026-09-16	votes 2; referenced by happy-adj
pleasure	n	1	defining	pending	2026-09-16	votes 3; referenced by please-interj
plow	v	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
plug	n	1	defining	pending	2026-09-16	votes 1
plural	n	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
plus	prep	1	defining	pending	2026-09-16	votes 1
pm	abbr	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
pocket	n	1	defining	pending	2026-09-16	votes 3
point	n	1	defining	pending	2026-09-16	votes 3; referenced by time-n
point out	phrv	1	defining	pending	2026-09-16	votes 3
poison	n	1	defining	pending	2026-09-16	votes 1
police	n	1	defining	done	2026-09-16	votes 3
policy	n	1	defining	pending	2026-09-16	votes 2
polite	adj	1	defining	pending	2026-09-16	votes 3
political	adj	1	defining	pending	2026-09-16	votes 3
politics	n	1	defining	pending	2026-09-16	votes 2
pool	n	1	defining	pending	2026-09-16	votes 1
poor	adj	1	defining	pending	2026-09-16	votes 2; referenced by good-adj
popular	adj	1	defining	pending	2026-09-16	votes 2; referenced by big-adj
port	n	1	defining	pending	2026-09-16	votes 3
position	n	1	defining	pending	2026-09-16	votes 2
positive	adj	1	defining	pending	2026-09-16	votes 1
possibility	n	1	defining	pending	2026-09-16	votes 1
possible	adj	1	defining	pending	2026-09-16	votes 2
possibly	adv	1	defining	pending	2026-09-16	votes 1
post-	prefix	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
pot	n	1	defining	pending	2026-09-16	votes 3
potato	n	1	defining	pending	2026-09-16	votes 1
pour	v	1	defining	pending	2026-09-16	votes 3; referenced by run-v
powder	n	1	defining	pending	2026-09-16	votes 2
power	n	1	defining	pending	2026-09-16	votes 3
powerful	adj	1	defining	pending	2026-09-16	votes 1
practice	n	1	defining	pending	2026-09-16	votes 2
practice	v	1	defining	pending	2026-09-16	votes 2
praise	v	1	defining	pending	2026-09-16	votes 1
pray	v	1	defining	pending	2026-09-16	votes 3
prayer	n	1	defining	pending	2026-09-16	votes 2
pre-	prefix	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
pregnancy	n	1	defining	pending	2026-09-16	votes 2
pregnant	adj	1	defining	pending	2026-09-16	votes 2
present	adj	1	defining	pending	2026-09-16	votes 2
present	n	1	defining	pending	2026-09-16	votes 3
president	n	1	defining	pending	2026-09-16	votes 3
press	v	1	defining	pending	2026-09-16	votes 2
pretty	adj	1	defining	pending	2026-09-16	votes 3
prevent	v	1	defining	pending	2026-09-16	votes 3
previous	adj	1	defining	pending	2026-09-16	votes 2; referenced by old-adj
price	n	1	defining	pending	2026-09-16	votes 2
pride	n	1	defining	pending	2026-09-16	votes 3
priest	n	1	defining	pending	2026-09-16	votes 1
print	n	1	defining	pending	2026-09-16	votes 1
printer	n	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
prison	n	1	defining	pending	2026-09-16	votes 3
prisoner	n	1	defining	pending	2026-09-16	votes 1
private	adj	1	defining	pending	2026-09-16	votes 3
prize	n	1	defining	pending	2026-09-16	votes 2
probably	adv	1	defining	pending	2026-09-16	votes 3
problem	n	1	defining	pending	2026-09-16	votes 3
process	n	1	defining	pending	2026-09-16	votes 3
produce	v	1	defining	pending	2026-09-16	votes 2; referenced by make-v
product	n	1	defining	pending	2026-09-16	votes 2; referenced by child-n
profession	n	1	defining	pending	2026-09-16	votes 1
professional	adj	1	defining	pending	2026-09-16	votes 2
profit	n	1	defining	pending	2026-09-16	votes 2
program	n	1	defining	pending	2026-09-16	votes 1
progress	n	1	defining	pending	2026-09-16	votes 1
promise	n	1	defining	pending	2026-09-16	votes 1
pronoun	n	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
pronounce	v	1	defining	pending	2026-09-16	votes 1
pronunciation	n	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
proof	n	1	defining	pending	2026-09-16	votes 3
proper	adj	1	defining	pending	2026-09-16	votes 1
properly	adv	1	defining	pending	2026-09-16	votes 1
protect	v	1	defining	pending	2026-09-16	votes 3
protection	n	1	defining	pending	2026-09-16	votes 2
protest	n	1	defining	pending	2026-09-16	votes 1
proud	adj	1	defining	pending	2026-09-16	votes 3
prove	v	1	defining	pending	2026-09-16	votes 3
provide	v	1	defining	pending	2026-09-16	votes 2
public	adj	1	defining	pending	2026-09-16	votes 3
public	n	1	defining	pending	2026-09-16	votes 2; referenced by people-n
pull	v	1	defining	pending	2026-09-16	votes 3
pulse	n	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
punish	v	1	defining	pending	2026-09-16	votes 3
punishment	n	1	defining	pending	2026-09-16	votes 2
pure	adj	1	defining	pending	2026-09-16	votes 1
purple	adj	1	defining	pending	2026-09-16	votes 1
purpose	n	1	defining	pending	2026-09-16	votes 3
purse	n	1	defining	pending	2026-09-16	votes 2
push	v	1	defining	pending	2026-09-16	votes 3
put	v	1	defining	pending	2026-09-16	votes 3
put away	phrv	1	defining	pending	2026-09-16	votes 2
put back	phrv	1	defining	pending	2026-09-16	votes 1
put down	phrv	1	defining	pending	2026-09-16	votes 2; referenced by pick-up-phrv
put off	phrv	1	defining	pending	2026-09-16	votes 1
put on	phrv	1	defining	pending	2026-09-16	votes 3
put together	phrv	1	defining	pending	2026-09-16	votes 1
put up	phrv	1	defining	pending	2026-09-16	votes 1
quality	n	1	defining	pending	2026-09-16	votes 2
quantity	n	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
quarter	n	1	defining	pending	2026-09-16	votes 3
queen	n	1	defining	pending	2026-09-16	votes 2
question	n	1	defining	pending	2026-09-16	votes 3
question	v	1	defining	pending	2026-09-16	votes 2
quick	adj	1	defining	pending	2026-09-16	votes 1; referenced by quickly-adv
quickly	adv	1	defining	done	2026-09-16	votes 3
quiet	adj	1	defining	pending	2026-09-16	votes 3
quit	v	1	defining	pending	2026-09-16	votes 1; referenced by give-up-phrv
quite	adv	1	defining	pending	2026-09-16	votes 3; referenced by very-adv
race	n	1	defining	pending	2026-09-16	votes 3; referenced by color-n
race	v	1	defining	pending	2026-09-16	votes 3
radio	n	1	defining	pending	2026-09-16	votes 1
rail	n	1	defining	pending	2026-09-16	votes 1
rain	n	1	defining	pending	2026-09-16	votes 2
rain	v	1	defining	pending	2026-09-16	votes 2
raise	v	1	defining	pending	2026-09-16	votes 3
range	n	1	defining	pending	2026-09-16	votes 1
rare	adj	1	defining	pending	2026-09-16	votes 2
rarely	adv	1	defining	pending	2026-09-16	votes 2
rate	n	1	defining	pending	2026-09-16	votes 3
rather	adv	1	defining	pending	2026-09-16	votes 3
raw	adj	1	defining	pending	2026-09-16	votes 2
razor	n	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
re-	prefix	1	defining	pending	2026-09-16	votes 2
reach	v	1	defining	pending	2026-09-16	votes 2; referenced by get-v
read	v	1	defining	pending	2026-09-16	votes 3; referenced by say-v
reader	n	1	defining	pending	2026-09-16	votes 1
ready	adj	1	defining	pending	2026-09-16	votes 2
real	adj	1	defining	pending	2026-09-16	votes 2
realize	v	1	defining	pending	2026-09-16	votes 3; referenced by see-v
really	adv	1	defining	pending	2026-09-16	votes 3; referenced by actually-adv
reason	n	1	defining	pending	2026-09-16	votes 3
reason	v	3	defining	pending	2026-09-16	votes 3; panel median 3, secondary part of speech
reasonable	adj	1	defining	pending	2026-09-16	votes 1
receipt	n	1	defining	pending	2026-09-16	votes 2
recent	adj	1	defining	pending	2026-09-16	votes 1
recently	adv	1	defining	pending	2026-09-16	votes 2
recipe	n	1	defining	pending	2026-09-16	votes 1
recognize	v	1	defining	pending	2026-09-16	votes 3
record	n	1	defining	done	2026-09-16	votes 1
recover	v	1	defining	pending	2026-09-16	votes 2
recovery	n	1	defining	pending	2026-09-16	votes 1
red	adj	1	defining	pending	2026-09-16	votes 2
reduce	v	1	defining	pending	2026-09-16	votes 1
refer	v	1	defining	pending	2026-09-16	votes 1
reflect	v	1	defining	pending	2026-09-16	votes 1
refuse	v	1	defining	pending	2026-09-16	votes 2; referenced by take-v
regret	v	1	defining	pending	2026-09-16	votes 2
regular	adj	1	defining	pending	2026-09-16	votes 2
regularly	adv	1	defining	pending	2026-09-16	votes 1
relate	v	1	defining	pending	2026-09-16	votes 2
related	adj	1	defining	pending	2026-09-16	votes 2
relation	n	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
relationship	n	1	defining	pending	2026-09-16	votes 3
relative	n	3	defining	pending	2026-09-16	votes 3; panel median 3, secondary part of speech; referenced by family-n
relax	v	1	defining	pending	2026-09-16	votes 3
relief	n	1	defining	pending	2026-09-16	votes 1
religion	n	1	defining	pending	2026-09-16	votes 3
religious	adj	1	defining	pending	2026-09-16	votes 2
remain	v	1	defining	pending	2026-09-16	votes 2
remember	v	1	defining	pending	2026-09-16	votes 3
remind	v	1	defining	pending	2026-09-16	votes 1
remove	v	1	defining	pending	2026-09-16	votes 2; referenced by take-v
rent	n	1	defining	pending	2026-09-16	votes 1
repair	n	1	defining	pending	2026-09-16	votes 2
repair	v	1	defining	pending	2026-09-16	votes 2
repeat	v	1	defining	pending	2026-09-16	votes 2
reply	v	1	defining	pending	2026-09-16	votes 2
report	n	1	defining	pending	2026-09-16	votes 1; referenced by record-n
represent	v	1	defining	pending	2026-09-16	votes 2
representative	n	1	defining	pending	2026-09-16	votes 1
